,eta=1,eta=1.5,eta=2,eta=2.5,eta=3
AFG,16149827.023739412,55389948.85254345,194152744.95508358,700471477.5997881,2623536049.813523
AGO,-432005.3857861165,-447763.6889726076,-516173.6516274739,-647251.7090158112,-862314.5269184093
ALB,350486.44333497976,249716.55761080352,185035.8373719125,143115.10195277317,115771.1040557268
ARE,1225824.904873452,442694.581779199,162277.0012924031,60480.82965321898,22957.55419961476
ARG,-68817.80488230445,-51252.226829626066,-38355.77178187184,-28876.252101955746,-21890.799945101367
ARM,37756.30573077347,30909.043299254736,26681.86319639538,24186.138102052708,22890.603503319035
AUS,-2794059.3618624527,-1010977.9310019702,-369750.3496869433,-136757.67767752876,-51171.58285099944
AUT,-92390.8876147329,-26573.464425954735,-7215.8198075173505,-1741.0290580696221,-302.7517384255802
AZE,176694.75118341856,138626.31309527278,112753.11853532401,95125.27432802158,83159.05978509712
BDI,1297491.8689477183,3606614.5659901197,12029890.985812396,46907066.21378816,204380501.80841666
BEL,-194872.25943179065,-67945.98552421088,-23609.71628418796,-8154.288979190835,-2788.480568290241
BEN,83637.80578818044,88134.0131797943,114549.53190440658,180495.35842263032,323954.9542552546
BFA,282736.59769071714,379232.26627552474,591401.4652951083,1099906.7195014537,2387711.5709446995
BGD,10664993.833840027,12157120.952764548,15683646.209230969,22602252.435025886,35559163.35166092
BGR,175639.88667710713,126285.25576494879,92996.8774288823,70089.7643896513,53997.725500216395
BHR,127086.77887048546,72097.57455201402,41259.65675231882,23840.862421473095,13923.071050830575
BHS,-3200.723729101216,-1102.0973656841852,-393.3613125472987,-146.29091044589697,-56.956829151467005
BIH,105863.73552047941,83451.90023776177,68239.36726130615,57673.992849357885,50191.680435478316
BLR,217713.58879825321,173934.96593077204,146489.9380798599,129771.3548006526,120338.60668763806
BLZ,301.30553848236366,235.28592004030196,211.35528135064348,211.22903064817405,224.61477411332464
BOL,42868.76572659472,36985.21659585495,29491.750755221346,19507.287150656703,5666.045595675697
BRA,-305925.99167407054,-200135.63329737482,-129668.50416626567,-82477.96029120422,-50732.50912474233
BRB,-704.8939819713332,-247.94110624223703,-87.88841065874077,-30.96433210538792,-10.560609613307314
BRN,-1498.7575326470537,-679.7615416325709,-308.42066018110415,-139.09813679270263,-61.68456553346645
BTN,116471.01929912808,112578.45350340629,116427.56674173975,130620.70344093455,160157.9601453949
BWA,-20154.045906671752,-11371.094509576938,-7447.164065728958,-5443.9913090124255,-4278.956339508209
CAF,116223.60301301221,200743.64299217478,424877.96679552685,1096891.6441782503,3285575.085543573
CAN,-3172996.1364168623,-1228381.3324269915,-480674.4324845351,-190224.46710290847,-76167.44129463709
CHE,-1503078.9133314316,-410495.9701870312,-113624.8169654613,-31913.69057264569,-9105.253763702423
CHL,-81954.88922153472,-36467.027229221465,-15879.857424430973,-6555.847171774389,-2367.049305222549
CHN,13662892.210130852,9491302.325568527,6754361.176995095,4929471.322422927,3691420.828584429
CIV,199367.89102434166,160858.72960294547,158004.36996449568,178916.36224156743,221663.6676610407
CMR,124482.4673835337,124958.13211853565,156589.87844905158,229156.0363322902,366577.02775697457
COD,1090948.7694020765,1671924.4954429306,3104248.9759240337,6881413.105548314,17300200.325696133
COG,49989.381800387695,39790.52828607026,38516.37671585777,43529.72078812811,54406.37310814926
COL,-159766.15927934737,-108482.0391406152,-73451.50427428898,-49134.55503799525,-31935.908317910867
COM,-339.56701585131424,-746.3178311652966,-1247.9817698086597,-2125.093755622409,-4180.88202159159
CRI,-256.1914070412804,219.79481503230608,498.2972296015348,626.9192200603117,657.7271410957142
CYP,5348.287733807174,3279.0775948457285,2040.7560423204443,1289.6085823220212,827.4106622740416
CZE,368764.9978636933,195592.44674468227,105315.86806883155,57585.70183280224,31976.941045896696
DEU,-798588.7169546047,-218690.30747684598,-54679.1270468721,-10902.493403889168,-571.5079201403148
DJI,6389.203125578033,5030.832910719153,5017.788974219602,5962.9214763599175,7890.524786126943
DNK,-195636.36614018618,-65345.87291500335,-22005.372267298793,-7474.94504547914,-2562.504896362238
DZA,703929.7108647693,506554.6496699945,369597.8950703827,272524.0695238841,201304.69671460887
ECU,53047.34555403702,53077.26219130053,55305.644170202955,59450.10230358854,65419.74725685596
EGY,3985347.9673189973,3470398.1506060595,3127623.1609908277,2935501.364233762,2884571.09269732
ESP,-836132.5362377752,-394503.1259980788,-188595.60525628598,-91422.32543205757,-44967.0662390881
EST,10142.436810609614,4595.802355512424,2123.031229774813,1002.8575098925525,485.7302527641327
ETH,1332740.5692210582,1658088.8340017179,2525814.774992387,4679878.000713777,10016967.053771626
FIN,-128572.17770437179,-47711.62985852309,-17775.084395608563,-6648.682918193454,-2496.933653934395
