,0
AFG,52287290.67072225
AGO,-496177.53293410345
ALB,210524.032863251
ARE,412775.3712662146
ARG,-133889.68435269815
ARM,5902.978161821142
AUS,-102817.90204859104
AUT,23532.279887974903
AZE,26639.49537172734
BDI,3057849.3853382817
BEL,18170.83493727472
BEN,-16557.44366710915
BFA,82563.62237523963
BGD,10205266.145899305
BGR,133031.0208989885
BHR,62868.417027216405
BHS,-2242.379880518534
BIH,73806.43532802134
BLR,59558.47100200335
BLZ,-2021.5886192617738
BOL,-12322.079167467193
BRA,-275996.5686906626
BRB,-936.5481043366248
BRN,-3416.720260464996
BTN,99556.42549886837
BWA,-11645.072926840998
CAF,136036.26649246895
CAN,-138919.54619100122
CHE,7849.585767569762
CHL,-68809.51815396672
CHN,7715537.502669963
CIV,56773.44035919772
CMR,-19280.048285824716
COD,565831.6889509913
COG,12128.823900240624
COL,-234907.71748186508
COM,-20677.372052392257
CRI,-25836.590469232924
CYP,10147.312832787324
CZE,164813.60230952164
DEU,190951.12591229792
DJI,-6926.096088564542
DNK,-9292.454007210052
DZA,204732.20272099914
ECU,-6908.913851927075
EGY,2615672.878207281
ESP,105104.95432978445
EST,7960.684373340669
ETH,-1002987.4349634148
FIN,7440.365746425424
FJI,-15372.595985783542
FRA,71509.2460921879
GAB,-1974.184508856769
GBR,131579.37489261362
GEO,24006.80395805416
GHA,57666.98195149375
GIN,11234.575125708678
GMB,-5956.385276936529
GNB,4351.836095511093
GNQ,-2265.71129277413
GRC,293301.4663385582
GTM,77273.47099767921
GUY,-4281.198666755531
HND,68645.13815852151
HRV,131092.97191979285
HTI,-117703.21202346358
HUN,107192.23108591084
IDN,-672385.4615244796
IND,121361426.71003151
IRL,2813.5039613997496
IRN,1553520.9630307134
IRQ,1202741.9967597167
ISL,-360.2670109810189
ISR,14425.072690122945
ITA,295301.4090802754
JAM,-19990.02457253451
JOR,631638.8847760957
JPN,206371.80486855016
KAZ,-73241.8584525858
KEN,-528149.2753503915
KGZ,163807.648326271
KHM,211696.34631210627
KOR,210423.89409108073
KWT,12796.786393857356
LAO,341493.5502243747
LBN,157383.994156904
LBR,366346.3594903131
LBY,86309.11392341112
LCA,-1342.4435063583885
LKA,367854.9646497614
LSO,154539.91760006672
LTU,33181.82224377824
LUX,370.270517322597
LVA,34085.9836878823
MAR,446593.5770281231
MDA,13381.87194202232
MDG,6561993.089563916
MDV,-1054.6670673007964
MEX,263194.76131557033
MKD,121472.93427026147
MLI,-171921.69811934017
MLT,-47.15154698406363
MMR,452900.0831605902
MNE,21394.618868100137
MNG,-990.2112641749535
MOZ,-292450.4314544627
MRT,-32854.77190050612
MUS,4227.398662179558
MWI,-53094.24033006948
MYS,62046.88605391937
NER,265755.79126688535
NGA,-624276.970986983
NIC,18764.291263830946
NLD,20211.400741792986
NOR,-3320.8452692033356
NPL,13372789.980971761
NZL,-17454.37746084108
OMN,12024.028580677012
PAK,16127490.202807695
PAN,-16163.782070018206
PER,-154687.7462038508
PHL,760700.7196019969
PNG,-28896.208868864433
POL,344553.6017129943
PRT,45207.22572372558
PRY,-36118.722966716385
QAT,3147.45270222911
ROU,439763.11525382014
RUS,-88597.19671975101
RWA,30661.018601430267
SAU,46676.37440782279
SDN,-213790.01877165787
SEN,-110175.88667402636
SGP,-14885.446239040077
SLB,-15561.731580613781
SLE,135399.55840816954
SLV,3512.6044298244037
SOM,-180449.480583698
SRB,1294887.278466723
STP,-686.423092568937
SUR,-8095.800092716118
SVK,65823.7713588515
SVN,7911.7474769754235
SWE,8968.562067520792
TCD,-44066.72830769517
THA,142917.2935863502
TJK,483289.92043991253
TKM,-4213.822614280508
TLS,52676.761539161336
TON,-1858.617838807873
TTO,-5049.001916939399
TUN,210185.03071140675
TUR,981409.880472904
TZA,-335285.9614067759
UGA,1994753.4232517243
UKR,1209690.4797066806
URY,-1305.8381011068427
USA,-445911.87646931666
UZB,1043070.5411821983
VCT,-705.4311355593981
VNM,6440442.503393587
VUT,-2890.572618932939
WSM,-2877.002244376144
ZAF,-441463.4311652818
ZMB,-342661.065519356
ZWE,-93998.48063857577
