Year,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CRI,CYP,CZE,DEU,DJI,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,TCD,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VNM,VUT,WSM,ZAF,ZMB,ZWE
2030,10649.70066030125,490.7056717257179,1221.6346130965499,216.39411709547613,715.8821459240194,673.5204614728856,69.72728769128055,798.5035299408667,1636.3722347534049,15308.042153495297,853.5499459716123,638.975704958322,1401.9682805435875,39843.91824743284,2871.446509118261,51.56895967984301,0.0,1875.566418134414,3890.83129322813,4.3288211934708,159.13963413281664,4434.938537116235,2.5145675260823266,10.175668036371215,70.27911392581768,92.31342470126819,875.4576629786463,485.58317054415613,447.0737649451756,441.48648580619727,274990.0337775723,1878.0498761227352,1354.0154130807198,9634.005710212927,240.60677668595847,1036.8277908284956,0.0,23.45660776479648,118.77686875908898,2744.9576759322013,8459.221620018301,63.094599973832125,0.0,450.4718964945932,1074.913808919719,10482.668197226007,2058.59909013649,128.64084505964058,12168.509489589904,284.6213032323016,0.0,3304.3741542015314,27.465093699295235,4259.898299520857,1023.7529100946634,1688.8579086435138,920.5357978348433,65.29126089579184,164.2010791731675,8.514775275471852,2856.35993526649,1275.6021733060338,2.041914767562807,428.32493351952184,1144.5353438039942,501.1364044487499,3155.0271846095147,5215.79891106274,398120.73494764586,90.6576425274969,3859.9426851538597,2076.702642200763,2.969673289630371,210.52488137855488,6385.821104966825,51.7776646046078,323.8934619976552,5662.218659653927,1350.9171568110914,2973.6935531785066,1165.4055072152096,1914.0513296546317,4518.549830538709,52.96746602058771,2804.9645635940346,349.7521411842533,698.7501585462954,189.2271028812671,3.36841360620569,2024.8502555333037,1120.8638005536948,590.8768627173288,19.75610077215897,430.7936778120261,546.2719999139516,1392.4146117206112,10712.375315083807,9.14248873977666,9183.221694287042,1189.1873791509806,489.66625206547855,15.967923087710998,10449.482199215054,251.9522367368471,229.127935297786,2605.6646445631395,28.58702636580192,188.4533624815287,2294.925806142298,1950.1477599448738,857.5035565260492,8488.22707112045,45.20828684673686,1126.8286575032605,33.590947005756504,9192.826777038705,0.0,32.95626142961611,23162.813842617656,22.19315701477166,157.42471511467454,10258.988036172062,0.0,11027.916518560696,543.1823895460097,133.27888289887164,21.440075052911645,7678.206393547533,13814.809521027135,3264.238297529494,636.9148958747954,8317.048582946707,295.47551132608265,155.05309021875945,0.0,931.2116764150015,641.0512294287839,1339.1249400963027,4749.415796524377,6.028964762082369,1.8216518315062822,1431.8290603240052,260.1194924573204,338.3950782796337,652.0467888399845,10568.4398212024,1236.8108644278402,317.8655514125947,10.27122225423363,0.0,2.440205816518484,439.7134183200968,11147.609832804103,6418.181333173546,11320.67508518176,21734.09251628805,224.66874354978285,10642.281896354452,7001.722344121668,0.0,37714.46247362889,8.324663188813643,0.0,3738.0317080215596,1106.3967227023666,1133.0986933959332
2031,12654.086193408019,545.3158085691713,1346.334599752901,285.4441302602004,761.1262626620222,692.6205494069362,71.55825273710413,836.1281490725637,1766.4362685387587,20995.35544309212,892.2580565975192,753.018377260447,1690.641858993148,49949.245557161856,2927.3958843241485,65.50640680826287,0.0,1938.2684596029408,3841.491953041317,5.050274910617758,174.3905707062459,4645.212208387434,2.6786656480078235,9.90454764697065,90.46356295584525,97.28323357633641,1073.0110473135119,522.2448719783689,465.37593716449834,476.21355286464603,284122.0086318936,2138.102820683941,1550.9611675536257,11231.869180123782,288.26574825398154,1130.1222872597396,0.0,30.80946987427259,130.98868840887468,2869.5761018192875,8688.540031186858,68.89578891808827,0.0,502.4764778937066,1223.7977376881274,11359.282350764548,2174.758519989695,131.49609302315605,13404.580939637086,298.3975932552405,0.0,3487.1292437882344,31.42280856076886,4524.814835468023,1051.9167719274085,2047.9140170680475,1019.2805456256746,80.90456751213482,190.48923539999004,9.556218746303346,3043.0195695093976,1415.7104903290635,2.2310259180599497,503.47594405038336,1223.3781135076902,584.0935435056064,3225.0584988649084,6503.879470371548,478270.23485163203,101.41895636202392,4610.430464088328,2541.7728589475573,3.073196706404446,247.86516175125305,6694.620414354866,59.05264321775738,409.25024289427836,5934.184831288647,1404.8735906440568,3474.598925993614,1235.4114407022455,2011.8773804858597,4762.583475813437,65.43381112200235,3094.805812984588,362.31444745603864,1093.5302738530609,203.63280848079748,3.2702568860327403,2215.831458365867,1421.5543460203394,620.4046907036154,21.095841087880853,457.38921332619384,584.5752579572861,1365.5286144112367,15549.403858314126,10.113502617314015,10109.649910533475,1264.3492784596542,596.5855561252513,16.435604487913253,11367.39963707583,267.9225061701993,247.29601838274897,3088.249040800041,31.12798671700483,203.67732991606445,2589.3449712813804,2319.949257632933,1029.7128895731357,9895.597796874916,49.358524047688164,1166.4096068412612,40.69393053660654,12924.465658745112,0.0,37.943793742494464,34946.0842680644,25.102233606412643,184.2600336735519,11667.28580982202,0.0,11272.609356845449,570.2336118010543,144.45857102782196,26.217203087561053,8051.420043489414,14290.866686998152,3679.792368937728,738.9967786354783,9204.288257605735,355.1437128421938,166.30144902332145,0.0,1168.7692607976594,677.3856312963521,1515.54906994116,5431.131897691109,5.966214153143591,1.9529662829019747,1504.7059905488413,269.64696929758946,365.6010520552261,718.6746980868431,11036.736074959534,1329.315622869737,340.9716331212797,12.014248483017502,0.0,2.8331628306997794,461.13053809274686,11888.75992730873,7596.831197390261,14252.929759401566,22028.91703759099,232.46192566805277,11578.419813417191,7659.527611737613,0.1871281518428859,44583.040399668185,10.549567747824842,0.0,4179.844116410289,1210.719140243758,1157.532971049606
2032,14551.06957230489,596.5953422386588,1464.5224603300378,351.64871514246494,804.2834491289033,710.3984654123196,73.32640620170898,872.3041743937473,1889.7212243961255,26169.615357647068,929.5697511390296,857.7064563442566,1956.2149800683758,59311.81624020824,2980.2168833387536,78.93601457802524,0.0,1997.0778512258512,3793.6715731049085,5.733029025797994,188.89855336333875,4846.18679567653,2.8322594217024237,9.648945736082345,109.31834698622075,101.9114317204986,1252.512873065906,557.6618052514526,482.9932504176579,509.0602471234472,292733.2381930141,2374.899273729527,1730.7107482329598,12700.816685875128,331.8066634851712,1218.6975172598975,0.0,37.77799466461034,142.80053973093501,2989.1167618903573,8907.296125142233,74.21329615536946,0.0,551.3670568747694,1365.2982908059844,12187.026731519876,2286.665156537681,134.20710955113526,14544.885024932048,311.6683462962654,0.0,3663.591450664095,35.02103266943519,4780.765151599286,1077.9654403941963,2375.7924074669663,1109.46141280956,95.12009105040299,214.4317103671219,10.515462701470778,3222.197259438166,1549.2103772462826,2.4089874251722208,574.7904036463034,1297.9387288105793,662.424497460708,3291.3195507797823,7706.187444861438,553006.4244160239,111.85984067251648,5322.265044088025,2989.612943250291,3.173511954150026,283.78316383021485,6990.782429838036,65.87790582202558,491.41537943386083,6196.573939683488,1456.130111346394,3933.3598787982255,1301.7669966685085,2104.056688482385,4995.658962070359,77.4241535897438,3368.736283486868,374.1861252543293,1455.113629140744,217.23777366623872,3.177616371560001,2392.6502419895264,1697.1824506816718,648.4289075548454,22.400029273437024,482.700358686896,620.3796320095771,1339.4904581855003,19962.818960109504,11.018499058784927,10992.543456385238,1335.9061557838409,694.7702284347585,16.88183419670685,12225.907966854158,283.10205112608435,264.5947624744337,3536.3123793484383,33.4719859740612,217.51014645100508,2867.859520137668,2670.4754100691816,1190.632729027388,11197.871430084419,53.269071557766495,1204.4426588729075,47.585839743646694,16405.06985616342,0.0,42.72501455181127,45835.88606156368,27.860548504802832,209.62781211333458,13004.409866423332,0.0,11503.875579181313,596.23194432081,155.11052704516982,30.79362870565789,8405.631152721617,14744.442621884096,4063.6625955923478,837.0704361721536,10021.152795971388,409.65811782043545,176.91115781103852,0.0,1385.324088302856,711.3745118776905,1677.0019778030085,6078.585685614519,5.9183363061649485,2.077672141470566,1574.3416329027036,278.7737105217831,391.9655167752515,780.5196334529464,11475.100062815283,1416.8618908481906,362.90950956723754,13.674044972088678,0.0,3.2006857762921284,481.19826260734385,12596.291341909064,8700.304695598077,16966.455644955335,22303.2914412568,239.7716570180773,12486.09079172868,8283.542915561622,0.36270830870017234,51041.34126665924,12.667640627054045,0.0,4599.9320005594855,1309.0206111693121,1180.294431362988
2033,16352.445480515422,644.9580733935152,1576.5899737929742,415.19318425053905,845.4709731862807,726.9389185750767,75.03412719402361,907.0857016425664,2006.6707374636821,30919.54204231266,965.5351363787277,954.6066381129018,2202.5901543771915,68018.33090467274,3030.046055258404,91.88832693857175,0.0,2052.224136897432,3747.2537069122536,6.380115417166517,202.71491066736527,5038.309454394993,2.9761606965685012,9.407355470906463,126.99808033161997,106.23703405902206,1417.039912024798,591.882802640067,499.9517619045466,540.1588171184026,300850.70766892325,2592.2547442669443,1896.09887905739,14062.29058549403,371.92571169716376,1302.8890909170573,0.0,44.39250119783907,154.22743284199717,3103.789646091997,9115.902312515975,79.12153186940446,0.0,597.4274728979069,1499.9351125666803,12970.21250636426,2394.474937111773,136.78007787414825,15604.313863750518,324.45197190134587,0.0,3833.9822785451775,38.31897992516932,5028.063052809086,1102.0346481174222,2677.7888453219193,1192.4395659905983,108.17691705053085,236.41869686587046,11.405735322656561,3394.1811327155383,1676.5933946976938,2.5765611363652434,642.5658283869932,1368.473465637351,736.4942519364705,3353.9746734292007,8831.11644564948,622925.4792841942,121.99064349387784,5998.145459021632,3421.267565348952,3.2707204451039016,318.366246309155,7274.792813890757,72.28918746474335,570.5843392374102,6449.617115689337,1504.853935846883,4356.9579176392945,1364.7078640983764,2191.023481767005,5218.213070752996,88.96798940898611,3628.0237578833735,385.41227651080504,1789.3460757203597,230.11209443417187,3.0899826982975975,2556.882320943502,1951.1150764969914,675.0159710004456,23.669617770219865,506.7836364049935,653.9085058480002,1314.2391982473553,24026.303192686493,11.86484423407772,11834.580064366726,1404.0671621354704,785.703195867184,17.30751949387275,13029.80691238024,297.53716497614266,281.0797601231731,3954.404843955507,35.649134838894916,230.16151829361394,3132.403443948146,3003.2760331925574,1342.1158486721995,12412.409122641002,56.95856107668977,1240.9850691034405,54.27387890994731,19664.101014904852,0.0,47.31316667016291,55953.35745325759,30.47973467967944,233.63402994312295,14275.980354313904,0.0,11722.302750804827,621.2170241701785,165.27059594934957,35.18246630373653,8741.679261383199,15176.53372750329,4420.9218039634125,931.3861165473214,10778.690681754713,459.8911536802272,186.93248681383275,0.0,1584.4810792046312,743.1977585942614,1825.9072035963404,6693.839784146257,5.881517880453345,2.1962044161824648,1640.8752875303398,287.5163179749516,417.5161677630999,838.3236885623135,11885.842516344577,1499.7751830304762,383.75477481917926,15.257110579223731,0.0,3.5448053289265795,500.0326229152492,13272.122851178532,9738.356597997452,19498.164339651546,22558.352411622982,246.63088420460366,13366.177910670074,8875.986768442424,0.5276819971599839,57123.09990003785,14.687333523673022,0.0,4999.713651348277,1402.026454580038,1201.5080238457035
2034,18067.92256167131,690.7365184625452,1682.8956401364921,476.2433607650255,884.7964239958769,742.3189777123487,76.68364352496164,940.5241709455527,2117.686008206512,35311.74796984455,1000.2018787857434,1044.8970350554755,2432.692664269232,76140.62743179446,3077.0124488938923,104.39067697523491,0.0,2103.9181290676624,3702.13415471908,6.994210069274317,215.8855633911873,5221.997011034852,3.1110898890757004,9.178470074561137,143.63044792237227,110.29203548062998,1568.907783526188,624.9537991121279,516.2761532761318,569.6277868948256,308499.5298394138,2793.060872498023,2049.2700449138606,15332.425617835132,409.1466082646331,1382.9964537163905,0.0,50.679712379074076,165.28353480284932,3213.792936201119,9314.750894066847,83.67754737809706,0.0,640.9025920242732,1628.172757630899,13712.56164250814,2498.336142603307,139.2208402141327,16594.22399895652,336.7659791663942,0.0,3998.5124545259896,41.36151248824639,5267.007070605846,1124.2479161791196,2957.884018043876,1269.2522142401776,120.25472211462596,256.7450613959184,12.237050803928764,3559.245065921073,1798.2931756177627,2.7344346741519288,707.0645919883393,1435.217050785515,806.6251373645335,3413.1791345626557,9885.854917847753,688525.909247594,131.8212189375993,6640.493558369197,3837.67175828396,3.364918601617604,351.69262602211927,7547.113309074111,78.31810357944528,646.9320327957481,6693.540172992951,1551.196671411573,4750.666268656097,1424.4473757494475,2273.1615803713466,5430.660873058377,100.09171583403354,3873.783676702459,396.0336276598752,2100.5813225273105,242.31632865458567,3.006911233034852,2709.841645933199,2186.060458283485,700.2286038504608,24.90551858423131,529.6923801462552,685.3554502245764,1289.719993248177,27795.043339499953,12.658662549326374,12638.192760239679,1469.0237417748253,870.496064814533,17.71351718759671,13783.331339055792,311.27023031555393,296.8012486082002,4346.178288141057,37.682463169403256,241.79330369274675,3384.522736324914,3319.711253858626,1485.5407401791717,13552.236652506213,60.443482239443114,1276.0913027424351,60.764875193125256,22725.88076260251,0.0,51.72011295791875,65395.58054534528,32.970060536646535,256.3735109013527,15486.931374653535,0.0,11928.44602438117,645.2265388314408,174.9708508199915,39.39545716191991,9060.356747759299,15588.078121116454,4755.410796108132,1022.1679265680428,11485.319617448162,506.49892235666937,196.40975796178017,0.0,1768.9461045371243,773.0151299191485,1964.1046959688922,7278.78026569316,5.85304077628927,2.3089554196927566,1704.4384013943647,295.89046486304744,442.2793741945158,892.6501995768353,12271.010241243974,1578.350001189908,403.57579100009576,16.769142846169142,0.0,3.867318578134238,517.7344849067903,13918.009997255083,10718.789466037877,21875.63873783999,22795.14938008977,253.06929116225538,14219.526170003835,9438.864374142027,0.6828803817795114,62857.987842974886,16.616049428733785,0.0,5380.470318049065,1490.3204454159963,1221.2848949545573
2035,19705.588010902105,734.202003974576,1783.7684242514702,534.9482677658823,922.358776169115,756.6090013844354,78.2770456946432,972.6685402358795,2223.131166577629,39397.506757142604,1033.6153647591245,1129.4860620641145,2648.771201207329,83738.91749545535,3121.238160385052,116.46763680677083,0.0,2152.3539619507555,3658.219419944453,7.57768736345648,228.45177275214618,5397.638718481539,3.2376895886952823,8.961149869350573,159.32212214750461,114.10305479811007,1709.903677058441,656.9180689133889,531.9898289099792,597.5738327969704,315703.11900058866,2979.5644160987185,2191.88753487018,16523.670694913337,443.8733452127831,1459.2880011922357,0.0,56.66330703066367,175.98223483997975,3319.3138942621945,9504.215352185114,87.92614567498127,0.0,682.0052243046999,1750.4283320655766,14417.31132753016,2598.389900164688,141.5349228458941,17523.48737623525,348.627035797941,0.0,4157.3826406454045,44.183478043054365,5497.881473888076,1144.718036769569,3219.146308566008,1340.7094134483768,131.49197997796082,275.63927714367725,13.017180486167335,3717.649613569481,1914.6943303436171,2.883230997600969,768.5193134230184,1498.3850706900696,873.1033151364651,3469.0798010397707,10876.608648311287,750228.9242108812,141.36096033591647,7251.491253667741,4239.666231622093,3.4561982167193257,383.8326482922608,7808.1832927130035,83.9927712789585,720.6156837563692,6928.563739187185,1595.296265584946,5118.567245986066,1481.1793212117925,2350.812131290331,5633.397144702388,110.81906261203807,4107.002996647941,406.0870982963909,2392.145182567588,253.90318233552625,2.9280118013130445,2852.636416964843,2404.2305577156635,724.1260711881969,26.108605964437515,551.4769723790129,714.8894284431013,1265.8833493631655,31311.41596067379,13.405104436533495,13405.599406683581,1530.9516262778145,950.0033572093774,18.10063736003331,14490.238589933897,324.34015825726465,311.80479172378864,4714.6087154711395,39.59001701097379,252.53343535764662,3625.472853576352,3620.9815616679953,1621.959699879283,14627.375918131094,63.73850525350649,1309.8132163234825,67.0653064164113,25610.72087529394,0.0,55.956525820323165,74241.54697088175,35.34063821899933,277.9314601706238,16641.61964435941,0.0,12122.830514000289,668.2963534377212,184.2401152794041,43.44315814122457,9362.41232767457,15979.960179096322,5070.109603200271,1109.6174471759007,12147.610136267422,549.9873961756665,205.38226791363672,0.0,1940.8020495437365,800.969239461119,2093.025938091553,7835.136613477149,5.830920027528192,2.416280306686041,1765.1551555844746,303.91096529424823,466.28026766842703,943.9374424307093,12632.426210923184,1652.8537434986285,422.4346034242466,18.215165997257344,0.0,4.1698242148628335,534.3921647014115,14535.563578047686,11647.941411586577,24120.012573733886,23014.65372435451,259.11373264442375,15046.944755240733,9973.994678436396,0.8290410638332038,68272.24985373339,18.460310684262396,0.0,5743.363633120833,1574.3796963271536,1239.7243360176276
2036,21272.251071790844,775.5789446541221,1879.5109838978924,591.4423733463775,958.2493107699872,769.8734278712526,79.81629927445213,1003.5654445254672,2323.3378104784883,43217.12717724047,1065.8188477279798,1209.089232880659,2852.591711500408,90864.18950686273,3162.838830538098,128.14139229628958,0.0,2197.7108661248217,3615.4253926989522,8.132664415550416,240.45076366253494,5565.598702027149,3.356535704266958,8.754395723902942,174.16314869896792,117.69251921031982,1841.4366397431857,687.8164383083891,547.1150054384734,624.0933487610939,322483.3448014793,3153.5482170022888,2325.268917629424,17645.837088481312,476.42426148339973,1532.0053200281518,0.0,62.364370379501146,186.3362033268561,3420.5296678751315,9684.651538272417,91.90323079998046,0.0,720.9215727856332,1867.0778558718864,15087.296261926615,2694.7706447322116,143.7275588481026,18399.178094915165,360.05102233724966,0.0,4310.784086811748,46.81252220707154,5720.957196267402,1163.5483328124094,3463.9918028154934,1407.4571039561747,141.99771029917216,293.2821582804304,13.752283093334713,3869.642861497479,2026.139712815396,3.0235164613074774,827.1372542103612,1558.1760495089602,936.1840765977828,3521.8157421135593,11808.774242846914,808393.7698939139,150.6188306039748,7833.111711025946,4628.010132180042,3.544646781802573,414.8498463162173,8058.42120523756,89.33831740817615,791.777220914074,7154.903383125044,1637.2786583782856,5463.887949388146,1535.0803282261556,2424.2799046689456,5826.797665273687,121.17145153225911,4328.559554998589,415.6062792994805,2666.6336537179295,264.91883912530847,2.8529403444856825,2986.2108285017844,2607.4564309875573,746.7644318449475,27.27971885170002,572.1850599186365,742.6589074309427,1242.6844743480046,34608.656819220916,14.108545650441643,14138.827911374996,1590.0125538508935,1024.8961603084924,18.4696467654108,15153.87947752371,336.78276728053316,326.1318562297071,5062.154190787638,41.38622949231298,262.48507855863687,3856.2876878988886,3908.1521616474624,1752.1938710895686,15645.704270062846,66.85674481686696,1342.2002245330111,73.18132631549179,28335.760840246534,0.0,60.03204550515517,82556.39250610657,37.5995937188124,298.3847451962548,17743.9125598392,0.0,12305.953450771105,690.4606276347721,193.104398641313,47.335099302300165,9648.554229264792,16353.01463865464,5367.378931275028,1193.916750554729,12770.797202158621,590.7551645213769,213.88503817376366,0.0,2101.6868497645455,827.1880018674118,2213.8079400293805,8364.498925194639,5.813676457951761,2.5185017393724802,1823.1429978869933,311.5918373311153,489.54282338100194,992.5335747214585,12971.722242555374,1723.530012973267,440.3877148181503,19.599634548734556,0.0,4.453751307957172,550.0834987620827,15126.265579820963,12531.031636017788,26247.82735106779,23217.76674818544,264.78859699733664,15849.209133665929,10483.033248385062,0.9668218005980134,73389.22038818504,20.225894948604964,0.0,6089.450349222639,1654.5994695154948,1256.915437656203
2037,22773.701147141834,815.0552070353214,1970.4024647864883,645.8474760216862,992.5524156458494,782.1714498204137,81.30325589882902,1033.2593423995143,2418.608866312372,46802.878325348895,1096.8535833840983,1284.2805188468703,3045.5667941303805,97560.02214310072,3201.9240973797423,139.43205698023792,0.0,2240.1547088987386,3573.6762222558714,8.66103756449341,251.91624714694052,5726.21813688419,3.468146665998348,8.557327483356469,188.23025110371879,121.0795358606416,1964.6380679829888,717.6874772887714,561.6727934490317,649.2737600788217,328860.6687140574,3316.4527331157,2450.4769400461646,18706.799771175618,507.05482631836986,1601.3667281869089,0.0,67.80176448076915,196.35744522435073,3517.60802152635,9856.398766000042,95.63807858742979,0.0,757.8155718652208,1978.4615943851206,15725.01420608934,2787.6065433645904,145.80370879688482,19227.03661793007,371.0530820168678,0.0,4458.899230796145,49.270976641663346,5936.492688073252,1180.8337338923304,3694.358074428666,1470.019603125482,151.8593289836561,309.81941949423305,14.447328103400572,4015.4612119292137,2132.936394878956,3.1558076464913496,883.1039350092482,1614.773249603027,996.0962055781116,3571.5187782541784,12687.07594914859,863329.4486602084,159.6033900943842,8387.145629492665,5003.391740011247,3.630347784958074,444.8018298217384,8298.225864385186,94.37729721113703,860.5452833528179,7372.76973868142,1677.2591896800106,5789.225656422561,1586.3118893785595,2493.8384609474824,6011.220413377129,131.16829798027263,4539.237915952158,424.62183722627805,2926.111081379793,275.40401972567497,2.7813920916160026,3111.376693711143,2797.271943429796,768.1967669867871,28.419663121388016,591.8617498047457,768.7951392764944,1220.0827232039396,37713.311720187,14.772738030674512,14839.737839067477,1646.3557580711815,1095.71128660496,18.821271918885007,15777.256467482195,348.63111134571767,339.8203018574433,5390.869352951424,43.082848246239514,271.7328624858228,4077.829426229289,4182.172870923499,1876.8963789934219,16613.528608762976,69.80997766990696,1373.2994536775636,79.11878751368535,30915.598798319905,0.0,63.95541311799088,90394.46759068852,39.754206867884555,317.80296964116303,18797.260152542844,0.0,12478.286143912082,711.7519230741595,201.58726061982784,51.07991634189319,9919.45307884411,16708.030308504614,5649.122613280229,1275.2309327945632,13359.125749681605,629.1220143082566,221.9494297109683,0.0,2252.9123748651177,851.7866530967025,2327.370013526694,8868.332802704783,5.800188882124636,2.615913839881238,1878.5131266535518,318.94636026965196,512.0899346297609,1038.7201659859218,13290.365847364781,1790.6014325242022,457.4867438494868,20.926517863259026,0.0,4.720383019952448,564.8774999269872,15691.482965816238,13372.410503451001,28272.271328840918,23405.326633122673,270.11611167604804,16627.062995986715,10967.491727419512,1.0968117964491138,78229.74616190301,21.917946100649733,0.0,6419.694869667034,1731.3112038603426,1272.9384842896902
2038,24214.904586123357,852.7897744185765,2056.7009306320588,698.2742968193252,1025.3462835592857,793.5575933276452,82.73966304907137,1061.7926509501103,2509.221889529524,50181.004074616496,1126.7589541808763,1355.5277271555967,3228.844670238634,103863.97331801864,3238.5980087325725,150.35793652802863,0.0,2279.8393367866724,3532.903347476516,9.16451261617643,262.8788608220126,5879.817191866027,3.5729910768127366,8.369166313582909,201.58935730182918,124.28054517743296,2080.4309296913716,746.567672684416,575.6832721650783,673.1946325797819,334854.2654514333,3469.460108876151,2568.382349279462,19712.98075856847,535.9733335223492,1667.5702482672743,0.0,72.99243498505908,206.05734859054587,3610.708001992741,10019.780819343045,99.1549213137141,0.0,792.8323753145905,2084.8885520367867,16332.678700088787,2877.0198859469874,147.76807962328994,20011.79275900459,381.6476666664863,0.0,4601.902250367036,51.57716477529527,6144.734700266448,1196.6616999408761,3911.823837655222,1528.8291057380327,161.14805179936027,325.37034937053573,15.106388651279351,4155.330106719018,2235.3606132854625,3.2805771821603456,936.5861313524563,1668.3462378206698,1053.0455956931196,3618.313981365186,13515.674715698615,915303.7985090185,168.3228221876993,8915.223503198606,5366.437483244669,3.7133809830377174,473.74103462653136,8527.977676107037,99.130041818594,927.0369105848071,7582.368625041988,1715.3438041973857,6096.703636899901,1635.0220957142408,2559.7344237416532,6187.006667518222,140.82726524806498,4739.74243699262,433.1618582508031,3172.245863303027,285.3948343400228,2.713095931107966,3228.8377556459877,2974.975684081714,788.4733882863824,29.529213640136312,610.5497876394329,793.4148063730242,1198.041120524664,40646.922118256785,15.400925230927257,15510.039024630612,1700.1192621772784,1162.8850730936638,19.156201909532466,16363.071730545329,359.9157652178935,352.9047999378367,5702.490044883063,44.68958139794552,280.34724439703103,4290.825272668376,4443.894498566585,1996.5955193049604,17535.980390627297,72.60882321246032,1403.1558830603433,84.88326246481103,33362.77386029812,0.0,67.73458301085961,97801.60604818698,41.811027364385545,336.2493792287288,19804.75432977401,0.0,12640.275768234005,732.2013024295561,209.7101188000384,54.68546248604642,10175.744529079539,17045.753432630467,5916.900128689947,1353.7102516324426,13916.090925462977,665.3486141741166,229.60365039854295,0.0,2395.5462068398015,874.8694311050266,2434.4670095245024,9347.992291177225,5.789595118225091,2.7087855562865926,1931.3709312447095,325.9871267708628,533.943481293072,1082.7285128935116,13589.682462258903,1854.2720523376497,473.77898808587685,22.19936967745119,0.0,4.970876292795321,578.8356951543869,16232.479657451364,14175.743968977198,30204.030607997214,23578.114519170038,275.1166020623614,17381.22005705178,11428.754462534927,1.2195410623781269,82812.53451891642,23.541065389300645,0.0,6734.979956256433,1804.7958598884834,1287.8661270633804
2039,25600.156696094447,888.918511350612,2138.6454839702933,748.8238306640444,1056.7035233846673,804.0822173637092,84.12717278429471,1089.2058702325292,2595.4318998676886,53373.14598934243,1155.5725841081478,1423.217501420358,3403.3719371255575,109808.65820921189,3272.959399023563,160.93575268415452,0.0,2316.90775001436,3493.044659899649,9.644630078278531,273.3665423422364,6026.696768795534,3.6714941168900657,8.189220146659013,214.29755714113134,127.30981878537705,2189.5786871287273,774.4915847918242,589.1655578208623,695.9286142894689,340482.13129661465,3613.5538384613055,2679.708435135028,20669.690819541764,563.35199284598,1730.796119328642,0.0,77.9516668790118,215.44672869359616,3699.9805448499474,10175.10688331909,102.47408151853426,0.0,826.1011859680117,2186.6402810468144,16912.261847867405,2963.1274454215763,149.62514182856825,20757.396091679115,391.8485790393142,0.0,4739.959572081926,53.74632819356113,6345.9190066949095,1211.113018015085,4117.693467951106,1584.246692431319,169.9227105271625,340.0339554471857,15.732849383097019,4289.464694560005,2333.661893125469,3.398258730522301,987.7343715946873,1719.052253289529,1107.2182697373883,3662.3201315216565,14298.255966549932,964550.6117467092,176.78495683538858,9418.834580073342,5717.719575421456,3.7938226501694734,501.7153581481263,8748.03975183869,103.61494858845391,991.3589745626214,7783.901163633836,1751.6300879548362,6388.081620392247,1681.347126725407,2622.1910382348246,6354.482021587,150.16448011374686,4930.708119327223,441.25214221592796,3406.4057939620093,294.9234747546566,2.64780974030963,3339.2086256842776,3141.6775404404857,807.6420278461993,30.609116154908758,628.2897202506631,816.6221728672871,1176.52594732967,43427.21416677124,15.995932737632959,16151.307671866853,1751.4310086147532,1226.777221050437,19.475090966737827,16913.76710965032,370.66507353072825,365.41719274798874,5998.496922303464,46.214558993940294,288.3876432588596,4495.894949338355,4694.082425613907,2111.725060311734,18417.29440704207,75.26289445762369,1431.8124753989941,90.4800625744159,35688.13972127009,0.0,71.37681823564648,104816.82969798835,43.77597157685304,353.7816300374555,20769.177991835786,0.0,12792.346996330942,751.8384207303606,217.49250928280787,58.15890351773659,10418.03165681519,17366.89074561843,6172.00651555261,1429.4919402039634,14444.609352168694,699.6504232545705,236.87317693558373,0.0,2530.469355653824,896.5309833710282,2535.7271759523537,9804.731166400104,5.7812239681723465,2.7973635435437734,1981.8163936692156,332.7260903927388,555.1243928590746,1124.7512402582508,13870.873987832123,1914.7294184640934,489.3079075469163,23.421385675794795,0.0,5.2062782978487645,592.0132158799629,16750.42698474883,14944.151894117367,32051.88864563892,23736.859844090686,279.8087119388196,18112.36572774972,11868.092782450089,1.3354882263525194,87154.4426777709,25.099386875337792,0.0,7036.11592294418,1875.2939642858698,1301.7643712829924
