,0
AFG,54602729.351727344
AGO,-104628.08219153229
ALB,249716.55761080352
ARE,441413.43237124954
ARG,-52770.67134150981
ARM,30026.254163011257
AUS,-1009892.3022492074
AUT,-26573.464425954735
AZE,137216.36719410715
BDI,3162361.754410644
BEL,-67945.98552421088
BEN,81224.31073406227
BFA,374326.69536461856
BGD,8161168.562460541
BGR,126285.25576494879
BHR,71953.2161425714
BHS,-1102.0973656841852
BIH,83451.90023776177
BLR,173934.96593077204
BLZ,235.28592004030196
BOL,36647.82712094711
BRA,-213206.67815716035
BRB,-247.94110624223703
BRN,-714.6574817000169
BTN,100638.1753310842
BWA,111.37173851720378
CAF,176791.82540486296
CAN,-1228302.6132217546
CHE,-411422.51752031443
CHL,-38302.76446216628
CHN,9491294.304036437
CIV,149401.8044294946
CMR,114123.9803823341
COD,1399956.2749387503
COG,30341.05235797823
COL,-112182.54184643937
COM,-746.3178311652966
CRI,203.57904993100297
CYP,3160.710779769547
CZE,195592.44674468227
DEU,-218690.30747684598
DJI,4795.631389406342
DNK,-65345.87291500335
DZA,509355.12243620993
ECU,49173.71202784681
EGY,3413583.056910546
ESP,-394503.1259980788
EST,4595.802355512424
ETH,1533099.390203972
FIN,-47711.62985852309
FJI,-5785.493926298045
FRA,-632109.2879068819
GAB,1172.191924876048
GBR,-498595.0319875901
GEO,55067.645535031574
GHA,216219.6549528792
GIN,74218.3215850843
GMB,13935.381072983884
GNB,17858.231365930675
GNQ,108.84269086885952
GRC,205336.89321707014
GTM,243238.8580968397
GUY,-538.5220170571595
HND,156848.38344364177
HRV,176756.6395646862
HTI,2064.080148664129
HUN,120429.07691047169
IDN,179437.251179145
IND,111575163.5116884
IRL,-36339.41038544956
IRN,1834164.0184654905
IRQ,1492166.6251442325
ISL,-33232.06336833293
ISR,32037.326550930586
ITA,-81343.19533665106
JAM,-6627.165343706884
JOR,683470.3257799842
JPN,-658769.3172753638
KAZ,89014.84166478192
KEN,368710.9729390766
KGZ,276601.174920842
KHM,508982.20781531715
KOR,-52596.18992075598
KWT,19876.385348987515
LAO,483239.2114970967
LBN,172850.664248016
LBR,438345.58549754473
LBY,140660.27297807875
LCA,-557.2515658061094
LKA,491977.423159426
LSO,179960.42143969168
LTU,34323.66694902269
LUX,-4328.706188353422
LVA,34791.7448300943
MAR,700876.4292020203
MDA,48538.83230546213
MDG,7507148.317419327
MDV,493.8817743128471
MEX,405981.5849302605
MKD,141314.88097907475
MLI,89780.50725719515
MLT,-1381.2856361362176
MMR,1020012.9748221495
MNE,24423.9472359833
MNG,47098.587950612564
MOZ,545028.74753188
MRT,-6536.491552198899
MUS,10473.425857805123
MWI,984477.9173356439
MYS,366976.6677307396
NER,815488.7703999343
NGA,1160302.8036321993
NIC,77050.77633930836
NLD,-105223.95560352641
NOR,-406156.4019794096
NPL,11570029.495219992
NZL,-169395.1383169938
OMN,17206.88645581762
PAK,18817950.406124193
PAN,272.40632352521544
PER,-81080.48441394987
PHL,2762557.2532228823
PNG,127113.43337107178
POL,361618.000492745
PRT,-70158.84437889935
PRY,-7433.344785639302
QAT,6098.727812323518
ROU,489666.4168988278
RUS,18495.466026137583
RWA,441860.6865717201
SAU,119483.87785487952
SDN,1243233.1952411463
SEN,8321.69110121955
SGP,1365.8476069597677
SLB,1979.6911711772595
SLE,220364.87061460075
SLV,35317.92671133357
SOM,103812.29131762295
SRB,1634315.038710245
STP,-63.667941179570825
SUR,-1047.1698799584528
SVK,79526.45171939528
SVN,5717.690706489217
SWE,-113558.91967978026
TCD,144598.91586612823
THA,713448.7261040037
TJK,609311.8642518746
TKM,48822.20851968978
TLS,92159.74658115594
TON,-750.7451742168106
TTO,-2078.781219435049
TUN,298815.6519163024
TUR,836381.0074861761
TZA,1074910.7652823608
UGA,3901785.5605889005
UKR,1859633.241398737
URY,3628.8449721838865
USA,-8361737.228227622
UZB,1473208.1391877201
VCT,-247.4572323878468
VNM,7905242.274740848
VUT,3920.2983152713673
WSM,-1097.9429840004907
ZAF,-156398.97855880912
ZMB,79431.69752457601
ZWE,14546.10240642704
