,0
AFG,190530896.4540864
AGO,-67601.12696374096
ALB,185035.8373719125
ARE,161572.19574885297
ARG,-39829.53020508165
ARM,25660.976752495066
AUS,-369348.68451366766
AUT,-7215.8198075173505
AZE,111177.04404574835
BDI,10378828.894213414
BEL,-23609.71628418796
BEN,106340.28646070333
BFA,584598.3769130604
BGD,9843990.250093007
BGR,92996.8774288823
BHR,41143.86993693248
BHS,-393.3613125472987
BIH,68239.36726130615
BLR,146489.9380798599
BLZ,211.35528135064348
BOL,28921.19956525227
BRA,-142100.893834559
BRB,-87.88841065874077
BRN,-333.2051906498191
BTN,102277.81686741835
BWA,1409.975012698063
CAF,362170.52656451974
CAN,-480635.6379859718
CHE,-113851.1765193339
CHL,-17314.740018650857
CHN,6754309.13837452
CIV,147941.2025093088
CMR,144126.35528172547
COD,2521325.4686157214
COG,28462.510521968055
COL,-77554.67907767261
COM,-1247.9817698086597
CRI,504.2487411296734
CYP,1953.3071894009765
CZE,105315.86806883155
DEU,-54679.1270468721
DJI,4705.2846379336115
DNK,-22005.372267298793
DZA,372821.41969144705
ECU,50443.718103146675
EGY,3052815.3611012404
ESP,-188595.60525628598
EST,2123.031229774813
ETH,2320488.561127276
FIN,-17775.084395608563
FJI,-6619.070608740757
FRA,-264573.53583216405
GAB,738.4957627401195
GBR,-194209.7858098908
GEO,45002.18938171843
GHA,227159.41125482944
GIN,91618.7478565633
GMB,20121.03214138537
GNB,28996.13542966225
GNQ,127.90777900125458
GRC,125307.5976261636
GTM,250036.43107081516
GUY,-95.64314584327106
HND,181732.04550871404
HRV,77918.9863835927
HTI,14053.90973492895
HUN,76708.56776501596
IDN,140377.03195048074
IND,116326221.29285629
IRL,-10207.908605504872
IRN,1735334.3080217247
IRQ,1558861.9651489442
ISL,-11897.687542978876
ISR,12473.987589447974
ITA,-17852.801205468022
JAM,-3984.2132685654346
JOR,748023.6251967365
JPN,-259967.11700843088
KAZ,55592.49754859467
KEN,446225.16980357334
KGZ,387242.7642116662
KHM,908958.3339736229
KOR,-17101.70189142703
KWT,7491.479442265258
LAO,926520.5148040929
LBN,165297.16280386128
LBR,769682.3165843021
LBY,98178.75268477328
LCA,-292.22270795240115
LKA,484947.8919521013
LSO,301051.423154698
LTU,18062.37878965362
LUX,-1114.8428046807007
LVA,19331.636574028293
MAR,582002.1142726843
MDA,49411.95067819786
MDG,14298241.36621562
MDV,289.2592070915542
MEX,346385.73060011707
MKD,111773.87260740121
MLI,132794.96297480277
MLT,-568.6764841300351
MMR,2401956.450188459
MNE,15998.855518782899
MNG,43542.25934530446
MOZ,1089066.4683788484
MRT,-4371.4572162599
MUS,6484.5014717465365
MWI,1990170.3799352585
MYS,312885.48502592556
NER,1382301.7629141808
NGA,1271327.0978131213
NIC,88687.41802992708
NLD,-34352.96386745486
NOR,-121751.95292608507
NPL,19154199.34146787
NZL,-65428.870556794376
OMN,6991.187051187068
PAK,25459557.5447976
PAN,390.2370394072557
PER,-63728.972925896276
PHL,4094773.94090145
PNG,157770.85686938395
POL,235705.53179115546
PRT,-37048.7711165315
PRY,-10905.045729881425
QAT,1487.500085982632
ROU,319941.11617335747
RUS,-22280.968688371082
RWA,809439.8087613585
SAU,53107.65811115249
SDN,2076383.2087420654
SEN,18852.278294745713
SGP,965.1855299535506
SLB,873.8844158533968
SLE,420849.71542819444
SLV,38051.46460388727
SOM,208371.50491063303
SRB,1138134.5807620615
STP,41.03709885990703
SUR,-371.1464009580561
SVK,47542.93812033763
SVN,3107.232890422396
SWE,-43118.794391586256
TCD,208708.68999197736
THA,768304.8118753494
TJK,996015.6781276339
TKM,32161.41095094869
TLS,172224.53613384342
TON,-882.0664753493019
TTO,-754.8497021183068
TUN,261739.7192278488
TUR,546068.024803292
TZA,1767541.1435733892
UGA,6889923.826873837
UKR,2146595.7080258387
URY,2567.8651939969395
USA,-3448567.020196958
UZB,1884607.8409229252
VCT,-140.7474390161554
VNM,10076898.270813216
VUT,5613.379794546874
WSM,-1283.733976999758
ZAF,-108945.30759841988
ZMB,124550.86122825363
ZWE,34712.99356815101
