ISO_A3,year,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus
AFG,2015,0.002662704,0.003122704,0.002951779,0.011018829,0.015924819,0.022019356,0.035625726,0.047188185,0.077146138,0.153836782,0.377071572,0.640119159,1.093073116,1.587647399,2.659653986,3.937500769,6.050882104,8.19792889,10.76638182,17.47400721
AGO,2015,0.007148919,0.000676462,0.000487041,0.002417346,0.004456948,0.006010026,0.010242211,0.014780943,0.029719445,0.070273805,0.152463983,0.312755257,0.652518535,1.216762887,2.112905593,3.064907414,4.55516309,6.678990427,10.39299494,14.63436973
ALB,2015,0.002135616,0.001007974,0.000938909,0.00125965,0.002265087,0.00252559,0.00271343,0.003648515,0.00604975,0.012832317,0.026718875,0.056764328,0.159404446,0.342640733,0.747789394,1.465026704,2.580681632,4.753251726,7.210529675,11.62672835
ARE,2015,0.001893188,0.000387585,0.001857943,0.012947618,0.010066798,0.013343389,0.021266801,0.03252156,0.064325685,0.125797206,0.244677826,0.382966641,0.797668556,1.017315896,1.334432435,1.485212315,3.20406124,5.340007412,8.439498323,12.91761955
ARG,2015,0.001940961,0.00064488,0.000646909,0.004657921,0.006380569,0.007518883,0.01046719,0.014694491,0.023955504,0.055356811,0.12209727,0.255529424,0.550945521,0.933732545,1.57314421,2.474786201,4.40343493,7.428118127,12.24818194,17.85764246
ARM,2015,0.000366574,0.000561031,0.000598274,0.001613364,0.002653508,0.002246502,0.003910445,0.00699224,0.020801278,0.037995999,0.083869021,0.16481511,0.350230741,0.660104631,1.403234253,2.552623502,5.387990245,10.54662202,14.54431412,19.5079879
AUS,2015,0.000315233,0.000152487,0.000198039,0.000530754,0.000715162,0.0009424,0.001544714,0.003370079,0.00891099,0.022320875,0.055468098,0.122167634,0.261285231,0.569799422,1.105120779,1.961349014,3.375146022,5.716084935,7.82908813,11.95617923
AUT,2015,0.000745077,0.00036257,0.000521723,0.001013969,0.001082554,0.001191052,0.001602496,0.003391579,0.006762589,0.016690971,0.043933947,0.123565676,0.317124821,0.664731663,0.960715761,1.23869995,2.282282202,3.951507815,6.073669775,10.37718809
AZE,2015,0.002020062,0.00141943,0.001881941,0.004163323,0.008508755,0.009899528,0.013507751,0.019410918,0.031444622,0.056039002,0.11020934,0.196815583,0.423542972,0.836892488,1.350236306,2.153788677,3.476251628,5.798514678,8.627607905,14.57679434
BDI,2015,0.008548417,0.001001676,0.000562919,0.003411947,0.006995406,0.008188456,0.014494412,0.02375278,0.047015042,0.10386586,0.201991374,0.462099036,0.917933006,1.514013108,2.834032191,4.081176942,6.371981587,7.763081256,11.88655668,13.15093436
BEL,2015,0.000438525,0.00025082,0.000314632,0.000955362,0.001226047,0.001373784,0.002247566,0.004206233,0.011514597,0.027414415,0.074369501,0.194870396,0.449300427,0.763088075,1.28118431,2.050196879,3.55489647,6.390750769,10.79268679,18.51980968
BEN,2015,0.002287648,0.000192553,0.000219935,0.007295162,0.006512899,0.0125898,0.022352887,0.025155476,0.041645073,0.098531805,0.202885102,0.312042067,0.645886159,1.290209391,2.153626606,3.021856242,3.563631196,6.162666925,9.212671314,11.48497761
BFA,2015,0.004037628,0.000339821,0.000200756,0.006349495,0.005360331,0.009578318,0.016960606,0.020019243,0.032236008,0.07535481,0.153606629,0.236282835,0.472841658,0.855188537,1.38188038,1.955927769,2.563521797,4.563434111,7.119307247,8.440607668
BGD,2015,0.002640774,0.001060937,0.001125384,0.003515026,0.004989848,0.008541266,0.014207988,0.023792601,0.049151364,0.129985112,0.378597892,0.662585626,1.553263168,2.454530733,4.235015544,5.584321839,8.453171573,13.03247258,19.3096065,28.56376647
BGR,2015,0.000396763,0.000148694,0.000248363,0.001381362,0.002699434,0.003731734,0.006188591,0.011979641,0.024763028,0.063078951,0.121941962,0.218390247,0.464621123,0.685884361,1.05202576,1.744895416,2.993752247,5.078001865,7.533282707,10.49838736
BHR,2015,0.000494826,0.000530292,0.000249325,0.001713,0.002291575,0.002078921,0.002268667,0.002422253,0.004517688,0.009782712,0.032741085,0.080931556,0.235076812,0.581649918,1.254854121,2.426435324,4.281763018,6.811196651,10.33792768,15.95944214
BHS,2015,0.000946341,0.000204108,0.000244388,0.00167359,0.003047296,0.00419665,0.005798453,0.006996132,0.011890689,0.026080434,0.052640322,0.100418698,0.18498308,0.341522773,0.568325565,0.994424855,1.413457716,2.150886962,3.089619455,4.803563644
BIH,2015,0.000797501,0.000194036,0.000504022,0.001768466,0.00237515,0.001915468,0.002850865,0.004083732,0.010507884,0.03090355,0.063869057,0.142990879,0.334489498,0.577758874,1.126099272,2.176283923,3.862900144,5.69550056,6.484234348,7.785690864
BLR,2015,0.000180835,0.000103396,0.000139807,0.000422889,0.000964346,0.001742178,0.003801751,0.007330063,0.014403129,0.030865137,0.065435124,0.124702491,0.274181592,0.453417112,0.775995546,1.145687057,1.555573562,2.356302729,3.216318031,4.969413878
BLZ,2015,0.003047893,0.000780503,0.000761188,0.005088182,0.007083634,0.013279112,0.013961136,0.016332614,0.028038416,0.061841228,0.126996513,0.275919433,0.549720053,0.860530015,1.346229745,2.206761218,3.756813973,4.821181026,6.012384933,9.869858675
