MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,ABW,0-4,million,0.00679662592229625,0.00800666920604769,0.008343268127494507,0.009398160401906053,0.009345834312639665
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,6.462305868394979,7.482652636875967,9.107756964438416,10.648959519555504,9.673397111410786
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,3.826243024126945,4.457963531677818,5.2351873469723245,5.711326801488731,4.877581652251679
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.20083035396872945,0.21430802766215937,0.20938485375001012,0.1803486520995504,0.13995161946280799
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.5844439540563123,0.643532909218174,0.6235407629166196,0.8069726106905916,0.8740974149219463
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,3.567120356953301,3.7342166027392274,3.8601167371530862,3.906492438070644,3.242656742395969
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.21191187084726065,0.20139589908086572,0.17939933246366924,0.1610401292260507,0.11732901793812436
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.480170420249743,1.508914498634503,1.354707211910672,1.45600872988378,1.3083078598951787
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.3721333964159858,0.35803839193223225,0.307055491845248,0.2771969655888264,0.21344418476262098
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.8190399797398622,0.7870421265932671,0.6549194730830229,0.7155867806548865,0.6470348167947768
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.4278072632535717,1.5750869187424636,1.590377599087252,1.757078552652757,1.485309552282687
IIASA-WiC POP,SSP2_v9_130115,BEL,0-4,million,0.5868757643697412,0.5545657600105899,0.4890177875063017,0.4769420786230003,0.3887857024351697
IIASA-WiC POP,SSP2_v9_130115,BEN,0-4,million,1.6743161936676747,1.8234569445670887,2.0348456606451157,2.1527672903122994,1.977986017795369
IIASA-WiC POP,SSP2_v9_130115,BFA,0-4,million,3.4177555174480703,3.8660896729294296,4.648564561543172,5.353839426656978,4.975869987552578
IIASA-WiC POP,SSP2_v9_130115,BGD,0-4,million,15.294665498630849,15.90999789046205,15.821228968047,14.735653692030372,11.98181293453278
IIASA-WiC POP,SSP2_v9_130115,BGR,0-4,million,0.37482232030800444,0.3664674659045538,0.34213964812320213,0.3732895908659352,0.32344069937742126
IIASA-WiC POP,SSP2_v9_130115,BHR,0-4,million,0.14093590581623233,0.1557851118558941,0.15693068626137457,0.23593299585433303,0.25325861678593714
IIASA-WiC POP,SSP2_v9_130115,BHS,0-4,million,0.02660510334201479,0.028516774301193096,0.029871439228974107,0.03221936309614345,0.031169023219407337
IIASA-WiC POP,SSP2_v9_130115,BIH,0-4,million,0.18277311063001483,0.18296768363332452,0.1704816133115417,0.16186071307673872,0.12115554531723434
IIASA-WiC POP,SSP2_v9_130115,BLR,0-4,million,0.5589323087637531,0.5324681697939645,0.4539335362435245,0.4912510242860846,0.39585113837577857
IIASA-WiC POP,SSP2_v9_130115,BLZ,0-4,million,0.039118464699248845,0.04174419463765255,0.04173306119975767,0.04033655193010623,0.03365537622198956
IIASA-WiC POP,SSP2_v9_130115,BOL,0-4,million,1.3077192774180877,1.4234098434165678,1.512938780497426,1.488654209916534,1.1976199650791728
IIASA-WiC POP,SSP2_v9_130115,BRA,0-4,million,15.646472917077881,16.270078587907523,16.1974007129292,15.168674096545017,12.449329843510611
IIASA-WiC POP,SSP2_v9_130115,BRB,0-4,million,0.014092883533136376,0.014504534826377126,0.014484925611393824,0.01347980938638733,0.012068282227484897
IIASA-WiC POP,SSP2_v9_130115,BRN,0-4,million,0.037087866135356,0.03639407387757552,0.037752384960041595,0.04243210377161505,0.04236807921117118
IIASA-WiC POP,SSP2_v9_130115,BTN,0-4,million,0.07863143689199131,0.08573332225877366,0.08936975307374387,0.10114844604185676,0.09567053130159389
IIASA-WiC POP,SSP2_v9_130115,BWA,0-4,million,0.23162266592935088,0.23975912709909253,0.24178108252952155,0.2509972598158419,0.23881187443264384
IIASA-WiC POP,SSP2_v9_130115,CAF,0-4,million,0.7090533744199738,0.779638409473448,0.8296645103619809,0.8337713752733777,0.6389984287144487
IIASA-WiC POP,SSP2_v9_130115,CAN,0-4,million,1.8822417837030077,1.9116574379421842,1.7062952650568561,1.8133341524699906,1.6104031276055393
IIASA-WiC POP,SSP2_v9_130115,CHE,0-4,million,0.36528020527594574,0.35957874384695365,0.330702026936599,0.32317954765523577,0.27816990662418956
