MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP3_v9_130115,ABW,0-4,million,0.05764152268069979,0.06392375212173262,0.06046455825033138,0.06039008591016436,0.06201775300641142
IIASA-WiC POP,SSP3_v9_130115,AFG,0-4,million,0.1807431920930826,0.18429206752175736,0.17620177473033463,0.14168017790968074,0.08554019909884387
IIASA-WiC POP,SSP3_v9_130115,AGO,0-4,million,0.1738198610555447,0.17662884968811915,0.16434347764890592,0.12987326152094225,0.08573417138864081
IIASA-WiC POP,SSP3_v9_130115,ALB,0-4,million,0.061987436934432275,0.06552275288263794,0.06343910878718625,0.0563326364782631,0.06036248538146812
IIASA-WiC POP,SSP3_v9_130115,ARE,0-4,million,0.05998752819250147,0.058275866530012974,0.04667734258321324,0.04770708834267658,0.053537258857860245
IIASA-WiC POP,SSP3_v9_130115,ARG,0-4,million,0.08484034571342561,0.08570705622207779,0.08363315690985278,0.0791156085915481,0.0696223527757141
IIASA-WiC POP,SSP3_v9_130115,ARM,0-4,million,0.0688552025608195,0.06629480227844771,0.061392524843435,0.062090883885971594,0.06637893604121588
IIASA-WiC POP,SSP3_v9_130115,AUS,0-4,million,0.06131642965177522,0.05806353801662136,0.04582589195861906,0.04040773471247074,0.03072780748102073
IIASA-WiC POP,SSP3_v9_130115,AUT,0-4,million,0.043495630543979244,0.04117212711034552,0.03432324487937406,0.030085009258056933,0.026194737233646244
IIASA-WiC POP,SSP3_v9_130115,AZE,0-4,million,0.08439161989780768,0.07767525658352471,0.06162339680590882,0.0650949938236607,0.06963006788125116
IIASA-WiC POP,SSP3_v9_130115,BDI,0-4,million,0.14808192130086342,0.1446088081650307,0.12153438977797684,0.10452464719091549,0.07851339432606955
IIASA-WiC POP,SSP3_v9_130115,BEL,0-4,million,0.05332936533717671,0.04920628379545576,0.04152938950653616,0.03786581143928898,0.03008131979258192
IIASA-WiC POP,SSP3_v9_130115,BEN,0-4,million,0.16504574178111073,0.1583711525881101,0.14276049357778497,0.1120431212988987,0.08111392649049054
IIASA-WiC POP,SSP3_v9_130115,BFA,0-4,million,0.1806013146815212,0.17926280862771918,0.17033389661271373,0.13869385825897804,0.08993953139798196
IIASA-WiC POP,SSP3_v9_130115,BGD,0-4,million,0.09720392463345491,0.09571328098597917,0.08733974123388835,0.07526769447264689,0.07153763825177346
IIASA-WiC POP,SSP3_v9_130115,BGR,0-4,million,0.051576300320072904,0.05184674181398993,0.05066036122348047,0.05917271187401739,0.06389971490257065
IIASA-WiC POP,SSP3_v9_130115,BHR,0-4,million,0.08623414125525003,0.08274807128770495,0.06680387138966797,0.07355740909577362,0.06581990301524164
IIASA-WiC POP,SSP3_v9_130115,BHS,0-4,million,0.07273916914959108,0.07362734845880141,0.07015207633945394,0.06734892173056967,0.06750753951202165
IIASA-WiC POP,SSP3_v9_130115,BIH,0-4,million,0.048803424282131226,0.04921057722760777,0.04693107855618272,0.04902977988168902,0.05522857155942559
IIASA-WiC POP,SSP3_v9_130115,BLR,0-4,million,0.05926452996589998,0.05743691941095385,0.050915380747193435,0.05986835970615479,0.06352216481702508
IIASA-WiC POP,SSP3_v9_130115,BLZ,0-4,million,0.1151363646541653,0.11443022053000988,0.1035004508994041,0.09013446281999234,0.07499980388458842
IIASA-WiC POP,SSP3_v9_130115,BOL,0-4,million,0.12282705402007613,0.12552351573974652,0.12004663574794526,0.10431586567515315,0.0827772047328067
IIASA-WiC POP,SSP3_v9_130115,BRA,0-4,million,0.07701926680330119,0.07720354119748009,0.07269305699321005,0.06541938971923206,0.06607384223544979
IIASA-WiC POP,SSP3_v9_130115,BRB,0-4,million,0.051060579858667535,0.05205526055506241,0.051594168890697505,0.0503895664669315,0.06197321893956929
IIASA-WiC POP,SSP3_v9_130115,BRN,0-4,million,0.08562832355447814,0.07803729451374772,0.0716141380513306,0.06768057432520187,0.06539745873636037
IIASA-WiC POP,SSP3_v9_130115,BTN,0-4,million,0.09869573880928245,0.0986731331603306,0.08880154081345741,0.08164948763654983,0.0733149796942283
IIASA-WiC POP,SSP3_v9_130115,BWA,0-4,million,0.10875544716898013,0.10694732151726935,0.09957427550445404,0.09174696958235479,0.08645187636643728
IIASA-WiC POP,SSP3_v9_130115,CAF,0-4,million,0.1471564952440093,0.1482616981325087,0.13607387085337036,0.11246064099387512,0.08103047225023495
IIASA-WiC POP,SSP3_v9_130115,CAN,0-4,million,0.05249120814220504,0.050620890018619684,0.041231203529004,0.03810742046635689,0.029590186853802148
IIASA-WiC POP,SSP3_v9_130115,CHE,0-4,million,0.04624025734422631,0.044387093181768325,0.038817625077449375,0.035236529854994474,0.030767068648479702
IIASA-WiC POP,SSP3_v9_130115,CHL,0-4,million,0.0708343589936995,0.07146227088770017,0.06736369509852609,0.06118131514835074,0.06209865800462643
IIASA-WiC POP,SSP3_v9_130115,CHN,0-4,million,0.05465030883990636,0.05419218673850663,0.05000968343629942,0.04759552612845359,0.05992661393878879
IIASA-WiC POP,SSP3_v9_130115,CIV,0-4,million,0.1526749394393694,0.15403255565577312,0.1422128486526137,0.11824044918160637,0.08644561180965007
IIASA-WiC POP,SSP3_v9_130115,CMR,0-4,million,0.15284427774732484,0.14894861943283644,0.13461965034028373,0.11131009802978226,0.08576723381007996
IIASA-WiC POP,SSP3_v9_130115,COD,0-4,million,0.18482321064881163,0.18247751990726443,0.16615859958116372,0.12892300002295515,0.08683696380376772
IIASA-WiC POP,SSP3_v9_130115,COG,0-4,million,0.14774387447797624,0.14352657390733853,0.13112365847088475,0.1100436514571883,0.08464637648569191
IIASA-WiC POP,SSP3_v9_130115,COL,0-4,million,0.09412881670715564,0.09317174045079621,0.08829881860008332,0.08020908944830367,0.06819515229100466
IIASA-WiC POP,SSP3_v9_130115,COM,0-4,million,0.15929179283997372,0.15206356990569223,0.14295074448715425,0.11829307660287192,0.08718217201233391
IIASA-WiC POP,SSP3_v9_130115,CPV,0-4,million,0.10360970537695026,0.1045265320053227,0.09574393976321152,0.08543970884573375,0.07397202489013309
IIASA-WiC POP,SSP3_v9_130115,CRI,0-4,million,0.07765449468402627,0.07846288210917615,0.07282439214180962,0.06969096334485597,0.0685568699113521
IIASA-WiC POP,SSP3_v9_130115,CUB,0-4,million,0.05044152696080874,0.05174260492869805,0.04986376647198359,0.04804142750912771,0.05621586465378355
IIASA-WiC POP,SSP3_v9_130115,CYP,0-4,million,0.061105727821099305,0.06290557379493406,0.05600680291129743,0.05749966045479323,0.05798030908058409
IIASA-WiC POP,SSP3_v9_130115,CZE,0-4,million,0.05130865189534607,0.04668468136529315,0.03614793320591022,0.03607596899603743,0.03007855176328415
IIASA-WiC POP,SSP3_v9_130115,DEU,0-4,million,0.0395790496294909,0.03830648776195411,0.033007258046395475,0.02986455081465783,0.026205215591436105
IIASA-WiC POP,SSP3_v9_130115,DJI,0-4,million,0.12010624477164605,0.11973839304162968,0.10999259631247685,0.0945186173049125,0.07776806104879039
IIASA-WiC POP,SSP3_v9_130115,DNK,0-4,million,0.05336533295242807,0.05205626603450209,0.04878291426979925,0.043074116901356437,0.03509147031482121
IIASA-WiC POP,SSP3_v9_130115,DOM,0-4,million,0.10137891731997498,0.10141852501150465,0.09619390442338883,0.0865833326190757,0.06992994144419548
IIASA-WiC POP,SSP3_v9_130115,DZA,0-4,million,0.09800348191755981,0.09697732914667305,0.08462089790241549,0.08144013681573466,0.07118239160245843
IIASA-WiC POP,SSP3_v9_130115,ECU,0-4,million,0.10087179205276606,0.10180117715105262,0.0953352419422468,0.08458220488761374,0.07085330742274916
IIASA-WiC POP,SSP3_v9_130115,EGY,0-4,million,0.11036518122332148,0.10733643085597525,0.09871276832328965,0.0877189566508381,0.0689813721157843
IIASA-WiC POP,SSP3_v9_130115,ERI,0-4,million,0.15117051586679794,0.14220699035718595,0.1289796954061869,0.10826208099113611,0.08221073731692659
IIASA-WiC POP,SSP3_v9_130115,ESP,0-4,million,0.04658194587735613,0.040720275585253374,0.031714655834372184,0.033051602341088546,0.03133940745024301
IIASA-WiC POP,SSP3_v9_130115,EST,0-4,million,0.05581194469190612,0.05192483673230888,0.03949575657775749,0.04022781601045356,0.0317182068002785
IIASA-WiC POP,SSP3_v9_130115,ETH,0-4,million,0.14724598133276015,0.14922498275309534,0.14173682462510379,0.11788971774477487,0.08386879114331205
IIASA-WiC POP,SSP3_v9_130115,FIN,0-4,million,0.0535522869917726,0.0516411148325593,0.0450751845784227,0.042169648357256354,0.03353816090459166
IIASA-WiC POP,SSP3_v9_130115,FJI,0-4,million,0.09837494522926732,0.09456683065634951,0.0895875945120038,0.07992339170967365,0.0695049527993094
IIASA-WiC POP,SSP3_v9_130115,FRA,0-4,million,0.05923114370346104,0.05548371476603297,0.047440601618067055,0.042750787508623586,0.033682814429430843
IIASA-WiC POP,SSP3_v9_130115,FSM,0-4,million,0.11330556471558256,0.11556284154530846,0.11328089041662416,0.08996900583485748,0.07382663256729259
IIASA-WiC POP,SSP3_v9_130115,GAB,0-4,million,0.11864607551838592,0.11953462144126872,0.10848267322723641,0.09480120503981755,0.07999220333169758
IIASA-WiC POP,SSP3_v9_130115,GBR,0-4,million,0.060431721314008965,0.056974259175189224,0.04755770455666875,0.043952883027018934,0.035458381873089743
IIASA-WiC POP,SSP3_v9_130115,GEO,0-4,million,0.07112751602483831,0.06688294865953111,0.057100895864785166,0.06389431230759547,0.06476845447300625
IIASA-WiC POP,SSP3_v9_130115,GHA,0-4,million,0.14421026881077292,0.1428596685612044,0.1369776379782765,0.11940334676845571,0.08526652061924224
IIASA-WiC POP,SSP3_v9_130115,GIN,0-4,million,0.16521235935244938,0.16114806072225699,0.14760752469921068,0.11699362760780385,0.08309200504835407
IIASA-WiC POP,SSP3_v9_130115,GLP,0-4,million,0.07063430678684186,0.07030303999758392,0.07633085476957524,0.07322238098531847,0.07547591062761848
IIASA-WiC POP,SSP3_v9_130115,GMB,0-4,million,0.16284179730474266,0.15514339497082857,0.14027477042345435,0.11501708417461189,0.08749512623258912
IIASA-WiC POP,SSP3_v9_130115,GNB,0-4,million,0.1565169515214617,0.15191538553197398,0.13862400173826503,0.11239815445135949,0.0810969028897934
IIASA-WiC POP,SSP3_v9_130115,GNQ,0-4,million,0.1512982565158806,0.14763144474589682,0.1352191549214491,0.11363391223984373,0.08578524850742587
IIASA-WiC POP,SSP3_v9_130115,GRC,0-4,million,0.04709925615065745,0.041989890465722046,0.03407640543766095,0.0320718876108316,0.02742084462500621
IIASA-WiC POP,SSP3_v9_130115,GRD,0-4,million,0.09558270514528759,0.096314817693619,0.08650214350977627,0.07986200844097882,0.07133264696039691
IIASA-WiC POP,SSP3_v9_130115,GTM,0-4,million,0.14513361599162589,0.14465319525067033,0.13346675190297133,0.11051950114669223,0.07885645281544258
IIASA-WiC POP,SSP3_v9_130115,GUF,0-4,million,0.1072045116460285,0.10622348938959056,0.10091063421204756,0.08674369539686409,0.07030148490169189
IIASA-WiC POP,SSP3_v9_130115,GUM,0-4,million,0.084247512552163,0.08601856967857871,0.08420287193875163,0.07574360879919541,0.06836902071613916
IIASA-WiC POP,SSP3_v9_130115,GUY,0-4,million,0.08744178846551011,0.09361858904785751,0.0960730233023821,0.07902084778575148,0.06950432076850614
IIASA-WiC POP,SSP3_v9_130115,HND,0-4,million,0.12405900780715642,0.12394193180378205,0.11192503279254895,0.09474933193038552,0.07378052787117922
IIASA-WiC POP,SSP3_v9_130115,HRV,0-4,million,0.05068356455087088,0.051119068998337534,0.04985866953496008,0.05399372929260926,0.05881958714445559
IIASA-WiC POP,SSP3_v9_130115,HTI,0-4,million,0.12050159005484347,0.11902738185337275,0.11005512777223724,0.09280014210735636,0.07769176736118907
IIASA-WiC POP,SSP3_v9_130115,HUN,0-4,million,0.042415410535676996,0.0405244313810223,0.03551294249048308,0.03264421842490051,0.03069918482970675
IIASA-WiC POP,SSP3_v9_130115,IDN,0-4,million,0.08547775837700372,0.08173740734893709,0.07485155102953422,0.06297262385218229,0.05960514011453903
IIASA-WiC POP,SSP3_v9_130115,IND,0-4,million,0.10330515294517403,0.10178325834740133,0.09452991685056429,0.08492578291225038,0.07386039146207111
IIASA-WiC POP,SSP3_v9_130115,IRL,0-4,million,0.07128289056842296,0.062481564172908934,0.04844120013915094,0.04453883083038153,0.03309227241493516
IIASA-WiC POP,SSP3_v9_130115,IRN,0-4,million,0.0872092245893857,0.08293003984909152,0.06652265818185665,0.06464690802836767,0.06672670309226535
IIASA-WiC POP,SSP3_v9_130115,IRQ,0-4,million,0.15599835649561866,0.15381414595142334,0.14178417674259305,0.11575272053205145,0.08592931192564358
IIASA-WiC POP,SSP3_v9_130115,ISL,0-4,million,0.07020449703249312,0.06444007398616917,0.05045973093963354,0.04452297408337353,0.03255940866957936
