MODEL,SCENARIO,ISO_A3,AGE,UNIT,Pop2020,Pop2030,Pop2050,Pop2100,AFF_ISO,REF2020,REF2030,REF2050,REF2100,Welfare2030,Welfare2050,Welfare2100,Cost2030,Cost2050,Cost2100,Impact2030,Impact2050,Impact2100,Countryname,2020COPDmortality,2030COPDmortality,2050COPDmortality,2100COPDmortality,2020IHDmortality,2030IHDmortality,2050IHDmortality,2100IHDmortality,2020LCmortality,2030LCmortality,2050LCmortality,2100LCmortality,2020LRImortality,2030LRImortality,2050LRImortality,2100LRImortality,2020Strokemortality,2030Strokemortality,2050Strokemortality,2100Strokemortality,COPD_theta,COPD_se,COPD_aerfa,COPD_u,COPD_v,IHD_theta,IHD_se,IHD_aerfa,IHD_u,IHD_v,LC_theta,LC_se,LC_aerfa,LC_u,LC_v,LRI_theta,LRI_se,LRI_aerfa,LRI_u,LRI_v,Stroke_theta,Stroke_se,Stroke_aerfa,Stroke_u,Stroke_v
IIASA-WiC POP,SSP2_v9_130115,AFG,0-4,million,7.482652636875967,9.107756964438416,10.648959519555504,9.673397111410786,AF,11.352884545454543,11.26067018181818,12.228096636363636,15.11190181818182,10.918390727272728,10.624097454545456,10.688301363636365,10.398231181818185,9.944282545454543,9.900984727272728,10.62858309090909,10.12688909090909,8.861164363636364,Afghanistan,0.00282462560981448,0.00228488823214293,0.00140331718194605,7.0165859097302e-4,0,0,0,0,0,0,0,0,0.455861444954054,0.350523701260813,0.171506579081776,0.0257640149285816,0.0045595913850797,0.00493955733383634,0.00482556754920935,0.00486356414408501,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AGO,0-4,million,4.457963531677818,5.2351873469723245,5.711326801488731,4.877581652251679,AO,15.574900789473684,16.044091210526314,17.235755894736844,18.454095736842103,15.818713684210524,16.530936736842104,16.447485,15.681540789473685,16.09700205263158,16.221109578947367,15.810697052631578,16.210722894736843,16.06273147368421,Angola,0.00906057586505504,0.00921893799003727,0.00893614848114042,0.00266953296398625,0,0,0,0,0,0,0,0,0.897777396702201,0.860303086762336,0.839602991747934,0.206465602859163,0.0155097857104963,0.0182508376770052,0.0225451524245359,0.0155097857104963,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ALB,0-4,million,0.21430802766215937,0.20938485375001012,0.1803486520995504,0.139951619462808,AL,10.501802,9.716096,8.852802,7.418777500000001,7.671049,4.8247885,4.3438205,7.712975,5.335134,4.8423015,9.4247115,8.203597,5.6718765,Albania,0.0019220542398136,0.00170849265761209,0.00201358063218567,0.0225154925235307,0,0,0,0,0,0,0,0,0.0860372672387287,0.0722217592103614,0.0758423751074507,0.647423290019005,0.0156976251262413,0.0162800973016121,0.024580325800645,0.466414594428117,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARE,0-4,million,0.643532909218174,0.6235407629166196,0.8069726106905916,0.8740974149219463,AE,16.617356,15.5331255,14.610342500000002,13.4608725,15.0273765,13.1099185,11.7201535,14.6598855,13.116717,11.771327,14.283412,12.315762,10.8823355,United Arab Emirates,0.00199111120250767,0.00182790536623655,0.00172998186447388,0.0134155197414861,0,0,0,0,0,0,0,0,0.00893878957120587,0.00563532386010805,0.0026233404176365,0.0035949479797241,0.00497584490402996,0.00515198100682748,0.00634089970071074,0.0949373594078636,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARG,0-4,million,3.7342166027392274,3.8601167371530862,3.906492438070644,3.242656742395969,AR,4.45623022,4.42037118,4.39843578,4.3507111,4.33550744,4.1682827,4.01448828,4.30388232,4.18596378,4.05031824,4.36460996,4.2578278,4.05108874,Argentina,0.00176270946315357,0.00150523504718732,0.00130717780413636,7.1300607498346e-4,0,0,0,0,0,0,0,0,0.0286290791117087,0.0160793458024665,0.00637291144609953,4.9022395739227e-4,0.00333535058905443,0.0032771758694779,0.00364561576012926,0.00343230845501531,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,ARM,0-4,million,0.20139589908086572,0.17939933246366924,0.1610401292260507,0.11732901793812436,AM,15.182021,13.585748,12.713235,13.005189,12.37403,9.913015,9.100331,12.038316,10.168352,9.585262,12.264973,10.34861,9.379468,Armenia,3.3837612848022e-4,2.8198010706685e-4,1.973860749468e-4,5.63960214133715e-5,0,0,0,0,0,0,0,0,0.0865391707749449,0.0672101269624005,0.0407185440721113,0.00922299552476737,2.5033131423983e-4,2.5033131423983e-4,2.2529818281584e-4,1.1264909140792e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AUS,0-4,million,1.508914498634503,1.354707211910672,1.45600872988378,1.3083078598951787,AU,4.898039264285714,4.8767051285714285,4.866913678571429,4.835814342857143,4.833057328571429,4.8049523,4.792226435714285,4.837602964285714,4.7902195,4.7768978,4.864242814285714,4.800630007142857,4.765845142857143,Australia,2.701999597483e-4,2.2516663312358e-4,1.8013330649886e-4,1.0507776212433e-4,0,0,0,0,0,0,0,0,0.00565543317955675,0.00321774646423057,0.00126759709196962,9.75074686130475e-5,3.6134464079045e-4,3.5071685723778e-4,3.6134464079045e-4,3.7197242434311e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AUT,0-4,million,0.35803839193223225,0.307055491845248,0.2771969655888264,0.21344418476262095,AT,10.342442,8.562759,7.889149,7.928717,6.922649,4.663133,4.726539,7.674315,5.812468,5.396312,8.073617,7.208086,6.416484,Austria,6.8776370574434e-4,5.7313642145361e-4,4.0119549501753e-4,1.7194092643608e-4,0,0,0,0,0,0,0,0,0.00250242841044548,0.00139023800580305,4.6341266860101e-4,0,6.2655327960802e-4,5.7642901723937e-4,5.2630475487073e-4,3.0074557421185e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,AZE,0-4,million,0.7870421265932671,0.6549194730830229,0.7155867806548865,0.6470348167947768,AZ,15.285756,13.967281,13.117277666666666,12.931983,12.974435,10.664123666666669,9.725353333333333,12.725949666666668,10.857134666666669,9.968862,12.855650666666667,11.199771333333333,10.098606666666669,Azerbaijan,0.00195976199480732,0.00177886088759433,0.00162810996491685,9.648059051359e-4,0,0,0,0,0,0,0,0,0.503890858667449,0.436055685622023,0.409616372087959,0.21170749596254,2.8682294482502e-4,2.9841175067653e-4,3.5635577993411e-4,3.9112219748866e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BDI,0-4,million,1.5750869187424636,1.590377599087252,1.757078552652757,1.485309552282687,BI,13.268367,15.289897,19.721381,23.6806,13.685169,12.371099,10.653686,13.440944,11.024362,10.221513,13.324413,11.225113,10.077299,Burundi,0.0093858128790591,0.00923461638906187,0.00626883908526996,0.0013375074115140001,0,0,0,0,0,0,0,0,1.03277556320485,0.849595008087496,0.442165861208074,0.0335388965931821,0.0162039097159444,0.0269771293421055,0.040571486677245,0.017667374902477,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BEL,0-4,million,0.5545657600105899,0.4890177875063017,0.4769420786230003,0.3887857024351697,BE,8.228077,6.797578,6.417785,6.609447,5.832662,4.431916,4.54747,6.327651,5.31046,5.115528,6.507545,5.930259,5.689658,Belgium,3.8132609212839e-4,3.0506087370271e-4,2.0972935067061e-4,7.62652184256792e-5,0,0,0,0,0,0,0,0,0.006220362512944,0.00348717292392315,0.00113097500235346,9.42479168627879e-5,0.00123871221766152,0.00118240711685873,0.00106979691525313,6.1935610883076e-4,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BEN,0-4,million,1.8234569445670887,2.0348456606451157,2.1527672903122994,1.977986017795369,BJ,25.745967333333333,25.920203,26.024186333333333,26.870691666666666,25.518543333333337,24.686629,23.590310333333335,25.66008,24.473908666666667,23.42964033333333,25.446835666666665,24.232463,22.653049666666668,Benin,0.0026164114257067,0.00211641657210306,0.00161642171849943,7.8081388097006e-4,0,0,0,0,0,0,0,0,1.30596844972502,0.970614607369882,0.566779543194573,0.080637102658167,0.0320011913807776,0.038774726715373,0.0498231154611353,0.0488898728150355,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BFA,0-4,million,3.8660896729294296,4.648564561543172,5.353839426656978,4.975869987552578,BF,23.78409425,23.85428675,23.87401525,23.759976,23.5341045,22.78671725,21.85781175,23.62702125,22.6882725,21.81925375,23.47932425,22.612037,21.6221715,Burkina Faso,0.00506427307507076,0.0045432888555476,0.00402230463602443,0.00337873589426053,0,0,0,0,0,0,0,0,1.81524379006141,1.4028954893572,0.941521026049926,0.295615002758997,0.0409122423110881,0.052244468519415,0.0722647348207927,0.11721589878049,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BGD,0-4,million,15.90999789046205,15.821228968047,14.735653692030372,11.98181293453278,BD,42.1301355,43.638078,45.888296,41.4331445,41.54017,36.0661675,27.362906,37.206242,30.0327885,24.8684265,32.997277499999996,23.590687,15.557357499999998,Bangladesh,0.00228960744859679,0.00155918053248003,0.00102540701685623,5.0568017269622e-4,0,0,0,0,0,0,0,0,0.242086944702343,0.124062255651965,0.0660237121915481,0.030674733540321,0.00489702216234811,0.00452032814985979,0.00463333635360629,0.00482168335985045,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BGR,0-4,million,0.3664674659045538,0.34213964812320213,0.3732895908659352,0.32344069937742126,BG,13.3619815,12.32338075,11.385045,9.92096875,9.71754225,5.9935695,4.95515925,9.8976705,6.743555,5.660916,11.9164195,10.419923,7.18179875,Bulgaria,3.0859346653338e-4,2.204239046667e-4,1.7633912373336e-4,1.5429673326669e-4,0,0,0,0,0,0,0,0,0.0317833062205269,0.0213544088669165,0.0149977476228111,0.0119187398326976,0.00226424747877399,0.00187829620398297,0.00180110594902476,0.00280457926348142,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BHR,0-4,million,0.1557851118558941,0.15693068626137455,0.23593299585433303,0.25325861678593714,BH,22.918014,21.03804,19.358319,17.481411,20.290702,17.236381,15.097181,19.813777,17.386771,15.25817,19.303551,16.107161,13.673975,Bahrain,4.6183788570277e-4,4.0245872896955e-4,3.5627494039928e-4,0.001451490497923,0,0,0,0,0,0,0,0,0.0123252869094968,0.00749377444097408,0.00325387574410717,0.00226785279134742,0.00492157946030238,0.00502555649115384,0.00599600877910078,0.0447101232661272,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BHS,0-4,million,0.02851677430119309,0.0298714392289741,0.03221936309614345,0.03116902321940733,BS,2.19532,2.121861,2.083545,2.059855,2.074873,1.961056,1.928062,2.061973,1.962089,1.934434,2.065314,1.940095,1.893695,Bahamas,9.2325992515602e-4,8.4824505623709e-4,8.1362280904374e-4,6.5782269667366e-4,0,0,0,0,0,0,0,0,0.0595333709839771,0.0359372256022681,0.0155003967570222,0.00207330147705393,0.00183164102985162,0.00192804318931749,0.00239398696006922,0.00347047774077148,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BIH,0-4,million,0.18296768363332452,0.1704816133115417,0.16186071307673872,0.12115554531723434,BA,13.143563,11.990129,10.357019,7.729485,8.920562,4.485716,3.869866,8.994171,5.293501,4.537354,11.5208,9.460073,5.634226,Bosnia and Herzegovina,6.45595764624e-4,4.1773843593318e-4,2.6583355013929e-4,1.1392866434541e-4,0,0,0,0,0,0,0,0,0.00814987505625783,0.00477065856951678,0.00258410672515492,8.9449848178439e-4,0.00338945415467821,0.00271156332374257,0.00228017824951079,0.00178716673610306,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BLR,0-4,million,0.5324681697939645,0.4539335362435245,0.4912510242860846,0.39585113837577857,BY,12.003461666666666,10.854825833333331,10.0924375,10.000428,8.9991475,6.059074333333333,5.036878833333334,9.336659333333332,6.656004333333334,5.552049,10.342763833333334,9.097153833333332,7.074214333333333,Belarus,1.3562610355422e-4,9.04174023694824e-5,4.52087011847412e-5,0,0,0,0,0,0,0,0,0,0.0126678553199274,0.00829334413031215,0.00410110424026425,2.7340694935095e-4,1.355406889896e-4,1.1012680980405e-4,7.62416375566514e-5,8.47129306185016e-6,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
IIASA-WiC POP,SSP2_v9_130115,BLZ,0-4,million,0.04174419463765255,0.04173306119975767,0.04033655193010623,0.03365537622198956,BZ,2.967482,2.921203,2.870937,2.841985,2.860545,2.696748,2.651511,2.843171,2.69747,2.654568,2.857672,2.684523,2.610382,Belize,0.00301315901072184,0.00267450425159172,0.00249215168898319,0.00216218038521538,0,0,0,0,0,0,0,0,0.0906501746505059,0.0528954445230468,0.0213522895322391,0.00232934067624426,0.00244677514303511,0.00259070309262541,0.00329235184687812,0.00523537916634718,0.251,0.06762,6.5,2.5,32,0.2969,0.01787,1.9,12,40.2,0.2942,0.06147,6.2,9.3,29.8,0.4468,0.11735,6.4,5.7,8.4,0.272,0.07697,6.2,16.7,23.7
