region,2030_Cost,2030_cost_20constraint,2030_cost_30constraint,2030_cost_40constraint,2030_cost_50constraint,2030_cost_60constraint,2030_cost_70constraint,2030_cost_80constraint,2030_cost_90constraint,2030_Impact,2030_Impact_20constraint,2030_Impact_30constraint,2030_Impact_40constraint,2030_Impact_50constraint,2030_Impact_60constraint,2030_Impact_70constraint,2030_Impact_80constraint,2030_Impact_90constraint,2030_Reference,2030_Welfare,2030_Welfare_20constraint,2030_Welfare_30constraint,2030_Welfare_40constraint,2030_Welfare_50constraint,2030_Welfare_60constraint,2030_Welfare_70constraint,2030_Welfare_80constraint,2030_Welfare_90constraint,2050_Cost,2050_cost_20constraint,2050_cost_30constraint,2050_cost_40constraint,2050_cost_50constraint,2050_cost_60constraint,2050_cost_70constraint,2050_cost_80constraint,2050_cost_90constraint,2050_Impact,2050_Impact_20constraint,2050_Impact_30constraint,2050_Impact_40constraint,2050_Impact_50constraint,2050_Impact_60constraint,2050_Impact_70constraint,2050_Impact_80constraint,2050_Impact_90constraint,2050_Reference,2050_Welfare,2050_Welfare_20constraint,2050_Welfare_30constraint,2050_Welfare_40constraint,2050_Welfare_50constraint,2050_Welfare_60constraint,2050_Welfare_70constraint,2050_Welfare_80constraint,2050_Welfare_90constraint,2100_Cost,2100_cost_20constraint,2100_cost_30constraint,2100_cost_40constraint,2100_cost_50constraint,2100_cost_60constraint,2100_cost_70constraint,2100_cost_80constraint,2100_cost_90constraint,2100_Impact,2100_Impact_20constraint,2100_Impact_30constraint,2100_Impact_40constraint,2100_Impact_50constraint,2100_Impact_60constraint,2100_Impact_70constraint,2100_Impact_80constraint,2100_Impact_90constraint,2100_Reference,2100_Welfare,2100_Welfare_20constraint,2100_Welfare_30constraint,2100_Welfare_40constraint,2100_Welfare_50constraint,2100_Welfare_60constraint,2100_Welfare_70constraint,2100_Welfare_80constraint,2100_Welfare_90constraint
Africa_Eastern,32.9269220293839,38.5407112350969,38.0103717603557,37.3134506459162,36.5973154903438,35.9002593048059,35.1911094819695,34.4592015634225,33.6931306296426,39.1672340605237,38.9047067258958,38.7485677679665,38.5756840672652,38.5293691406157,39.1474665402968,39.0525354953254,39.1440679458657,39.3989493920872,40.7436490329429,40.100680027454104,39.1050881701281,39.1240708518202,39.1525300958969,39.2150424124706,39.2975661688899,39.4478449718215,39.5925428393707,40.0430712155795,17.4001792060875,79.9072801225114,73.3078778628559,65.8655860298114,57.5784870429817,48.319158680076,39.6367866850745,32.1534705653049,24.715483670891,80.7580466038298,86.4871083272013,86.6650128560983,89.3952484425279,94.128333181172,97.4005311654153,96.0376530147348,92.6424411577138,87.0074342078698,98.918439623564,98.123461320448,88.4886182396206,89.5763506101604,91.3298452304869,94.4140000210639,99.1375947637539,104.804345826903,103.228483153399,100.972900715185,52.5798975374761,434.094464049077,343.159654485652,260.776858273718,189.752926529423,116.063158507593,49.6044952481291,55.946927245214,57.325393053091,42.7084912839169,512.015416538393,520.430316580859,549.546909923233,494.767356244885,379.621821822114,185.820314530497,92.6492783567919,62.9833850871726,557.523128465768,237.414018812345,501.652585281037,486.969454415055,490.783640632877,445.174496700646,358.884385671092,255.439489081744,235.285405575619,282.489722714172
Africa_Northern,181.490060908367,205.462699478105,203.379643641709,200.507179746878,197.463875628147,194.439169803646,191.331410473656,188.120881563671,184.780837962527,197.004787380629,206.015675509259,204.695482968235,203.195273448903,201.367701214182,199.510543256016,198.358652038458,200.738232715622,198.990957563609,213.358355743258,202.586402142682,206.819538523534,206.186845548238,205.305090179746,204.350691718417,203.414111258305,202.574930275652,202.19126705304,200.084622681482,176.602940275175,284.889860622704,275.77605441757,264.434852054972,250.922238678693,235.140653975261,219.599923677655,205.136856567125,191.051746808749,228.677002953397,288.948269428622,285.28530295214,283.768909294802,283.146157834789,279.809159616656,272.568093604358,262.874504441948,249.390936950617,307.907697056068,251.739641662362,290.764231939439,287.790362607113,284.649948218088,282.277420314555,280.453960626117,278.484620966834,271.119799406241,262.084251455653,133.880819040818,396.255476619502,355.090955728324,307.533297754221,259.175803912792,205.707270837671,146.312923710765,137.933700622816,136.751523094124,18.560221073786,417.420511956529,409.563193025712,403.488004149233,366.3008936054,270.982403310522,117.923820257027,46.4586653611361,28.8001799716218,445.310137556148,174.820044335697,411.297069694997,392.3341773934,374.096310738176,338.181525090868,276.947909252751,199.161233362863,178.054787551104,173.465232129007
Africa_Southern,24.608923627930398,29.7012607516205,29.0352776475005,28.1957325375705,27.4176804084905,26.7201987806315,26.0801460111785,25.5369199993905,25.0478694802005,30.5822918273805,30.1775063731605,29.9882619774705,29.7797084470505,29.7491199440205,30.4663977179405,30.3654767979505,30.5993264436305,30.8577087441205,32.8448233801766,31.7765137412004,30.4191766203505,30.4412030995305,30.4667078820105,30.5339183470805,30.6270671572705,30.8338199501305,31.0358543536305,31.6630543991805,23.068994466487,73.005880206699,67.069503340157,60.204701903708,52.790112580337,44.975988477051,38.077456811098,32.811389421079,27.894043127858,67.250775139051,78.357458985113,78.032501923594,79.62622109212,82.475853601869,83.430608256979,81.878957602245,78.606967691918,73.415987147114,90.8714749419212,83.2799622919848,80.181699328337,80.810102021484,81.688057313237,83.454393512366,86.333838700232,89.700403364162,88.098970527193,85.922611660786,43.5800054497311,439.814648241362,354.380945714042,268.750705546769,187.462579616728,105.135024962207,46.9794860537928,42.944329139322,42.5701715545875,24.8901730959104,504.510541125108,504.735090211297,509.272117700501,461.125166293581,344.882691667167,110.231622479712,51.0274302900276,34.8718604678655,538.461037645227,149.612877588002,494.796514837872,474.391981865781,459.076683537218,408.906463617532,314.108161174382,183.703746180061,156.492497373748,162.83939662704
Africa_Western,67.1124254956741,78.2308444977401,77.1814987214641,75.7483544488311,74.2796787314211,72.8676417889271,71.4489317151591,70.0144105668971,68.5459112263981,73.1652507363891,77.7485352680271,76.4432511739521,74.9944496663981,73.5664247117531,73.8472769818171,73.3192900212231,74.1626439677541,74.0347961118121,82.0532344553665,81.236988488327,79.3035393299691,79.3544422055271,79.4069258416061,79.5313940723131,79.6922381488761,79.9723961796861,80.2559936643131,81.1264678754191,116.693826896448,215.759911188458,205.526090957343,193.294529552291,179.382904182806,164.097877084251,150.33289897021,138.791339879928,127.769794265812,146.59749898116,213.605072020367,206.180809548481,206.436738372802,210.780991327275,207.189818697792,196.931047829812,183.63385152722,165.785966106316,244.735499093521,236.838164132673,227.97561518762,229.629008383953,232.345148014836,237.138363673053,244.075528503617,252.251787603805,248.259841246476,243.094315015449,223.984708426626,1135.49265231668,986.210224520059,830.247317561913,673.421227345619,475.8434168666,260.275542461083,234.227160225479,232.552473752198,-66.2997261023672,1166.2134912506301,1111.40456571615,1093.69662406711,879.879172843205,451.461327562393,69.0781958288322,-38.4122371183132,-54.4731444995637,1335.45470599497,443.445805865087,1209.18416701249,1158.77909092521,1125.39043461949,1016.98247764801,811.563752272163,540.490883688652,463.29458140449,461.336314650138
Argentina,52.428100659777,59.4889689740871,58.9021535098571,58.0910022712671,57.2146159150471,56.3274404445971,55.4052694932171,54.4435990572171,53.4360852218271,60.0899418823271,60.0132863827671,59.9685951758871,59.9172878447171,59.9143639189271,60.1396069772171,60.0904991067371,60.1434897308571,60.2167384533771,62.157700762832,56.247855951777,59.5921951123071,59.1424177921271,58.5277668800171,57.8435470119371,57.1672382732471,56.5412875933171,56.2065970055671,54.8221981289471,34.1357881228314,62.0459817950814,59.5920127932714,56.6092718007014,53.1374084619814,49.1460759044314,45.2211884871514,41.5742416394514,37.9197393290214,63.6594147994814,64.6091580079714,64.8138085401414,65.2498065364974,65.8611721104814,66.5284593244014,66.2118953487914,65.6660555988314,64.8457350237914,69.480490209193,44.5184789316314,62.5056924190914,60.6838551566914,58.8049419928714,57.3164781658514,56.2467975645014,55.3225050168014,52.0995013744214,48.3828573363514,-5.0195201358368,69.4638451117321,58.7409510575262,45.0252661796826,30.7223536843008,16.1051797480276,0.931951879240263,-4.25194869182106,-5.07804184535601,21.4741176647182,77.0932064595993,79.2030955768394,81.5486660290887,79.7612441018966,74.5445551768792,54.894144728887,35.8117530053598,26.8201225906992,81.1354987202952,12.5545149492713,71.1037462471668,64.3939743548322,58.6352846644382,49.040617462206,33.9721969619734,19.5529562124154,14.1036212718247,14.9001349119471
Australia_NZ,105.907236743659,121.38326541966,120.02624160758,118.22047973536,116.2668950854,114.2872269272,112.25575472344,110.16188237729,108.01027022945,120.845031862154,122.47352787893,122.16871875627,121.79633449976,121.49182640226,121.72674242733,121.34966525627,121.44530409267,121.383534566435,124.44524163192,15.60076877994,116.52349014003,111.3775549046,104.49252879937,95.2629265692,81.92435376585,59.93369797238,46.1750667341368,-85.3237579150701,62.71151536074,133.89662077912,128.22155111,121.32908001497,113.09688998042,103.04329222654,92.5804583785,82.82850212529,73.02775119413,128.88144885633,139.32635646159,139.08972761146,139.90602105311,141.42294958558,141.93541091676,140.22208036204,137.76626741297,134.065910325575,146.695040499834,-138.165088435051,114.32541084621,88.64078713895,52.39047188444,12.12124718646,-32.6435497806899,-105.842857902933,-127.174979477586,-143.419653628634,12.1340896709214,154.691366793737,129.834131268702,99.1834665836736,70.260690917555,45.4579035619837,18.8242071781347,9.37942004071916,10.0991204914862,28.005124947123,171.281716292244,173.915229570178,175.991888822274,167.799025430977,141.630849218944,76.5748672397992,47.6281719095321,36.0390572705199,181.414983950825,-312.668540298828,109.498686000155,-11.7623226889137,-257.289347665889,-320.060316833337,-326.308029049636,-306.327002416786,-300.434208280579,-308.062521204765
Brazil,126.383933492649,147.196452620949,145.260011215749,142.668397582249,139.947392128749,137.268137097249,134.566122647449,131.840059068949,129.069231485649,129.275105168449,145.764737291749,142.900052720749,139.781172534349,136.272800680249,132.899159917349,131.073729931849,134.867049724949,131.941024033749,154.382888313542,137.718502712649,147.669177849349,146.253301636749,144.317761892249,142.148484317949,140.002457645949,138.086180875249,137.068356886749,133.560709249749,48.12584097673,152.20834506011,139.98473077123,126.06915853759,110.78299588032,94.2159018055801,81.1062685659001,69.6926696717601,58.8649565340401,64.8915055814901,146.94065593104,134.20328178539,128.47123998138,127.95685326396,115.32943669104,103.50740165395,91.6318590533901,78.1589011205501,175.083352823881,83.58797036369,154.42323050193,144.78225397477,135.04687500606,127.32975956424,121.30637218018,116.05550929074,104.4808263316,93.6574976923701,-47.788501993196,208.658058142618,163.921510157251,111.232240296146,59.6178453251956,9.81475432596222,-41.4145332466037,-50.5192443143779,-49.1864791660437,-65.6304562839817,210.197965922364,179.381417458609,149.516097092289,85.6997059898945,10.1735228681583,-53.0442247621215,-66.4687425631269,-65.1662547068581,249.47888044256,-14.9355713595136,213.553725540864,180.254828589567,146.85981797905,102.714807669892,50.520175442096,0.997537872596995,-12.1112040866557,19.6872747134917
Canada,146.98627957499,167.50675738566,165.76514997714,163.31700405825,160.65824708098,157.95612492935,155.06917967013,152.35578622182,149.69510341556,168.66223111153,169.37240715409,169.38283541081,169.31510408913,168.67120368426,169.44650564914,169.22145098224,167.81758409787,168.52160384374,171.578248274007,43.5339086339265,162.0546613911,155.32927942502,146.97391598715,136.98446765529,123.54906787538,101.35117998026,85.84963337126,-16.9584405768812,75.58102568874,159.87694665428,152.8709311001,144.16463679816,133.77410886733,121.46949088167,109.29863491852,98.28689145811,87.08488433545,171.883375140419,168.35586517681,169.4969025578,171.13915412206,172.63760322277,174.48568509148,174.61976059277,173.9195246507,172.98896312502,175.565739851309,-92.4791479653298,139.46968088803,112.50354230349,76.8479502943,35.5045183673053,-8.18043653243,-53.1391772083097,-70.4240094132163,-84.1261043019135,-9.01708808505143,185.863259146573,157.394528096294,121.858622535002,85.3924781407951,45.6826054602775,-3.22013624177603,-18.3488444422791,-14.8912955156557,159.12770218349,209.115599244358,218.932345898741,227.742411183954,232.207707006105,232.523508474535,214.767776547033,189.32031970926,173.486042638917,216.731631821656,-156.034972125625,144.667159072502,34.4859240386511,-104.749819671669,-164.258827962896,-182.851302455571,-162.47305730783,-153.941686538506,-144.481414958689
Central America and Caribbean,58.2407890134,64.79410630436,64.18437945769,63.3751952697,62.5343777839,61.7074136497,60.8870565793,60.0515083733,59.165373968,64.7869686635,65.21776806296,65.05425054247,64.87007031179,64.75997690709,64.96624763478,64.81725153,65.1044801344,65.0701116384,67.284567398,63.8733242652999,65.16355358364,64.92842431105,64.61452297469,64.28043961436,63.963269955,63.724913226,63.6087782743,63.2840635092,27.3961813039999,69.22529870725,65.48949530483,61.1380956258,56.2117604742,50.55946159445,44.8205935739,39.2692564817,33.473844755,68.5916945249,72.62873758291,72.53293503824,73.40470065407,75.00870519548,76.35828155704,75.51244391529,74.05543847668,71.65863175239,80.5265562498,62.2183236988,71.68862078297,70.4153232921,69.32586468426,68.91572226061,69.28764142654,70.18074297919,67.90087698211,65.25503512374,-39.2453580397241,102.796343085808,77.4682471776373,48.1545504325834,20.7836496879851,-4.29957840364694,-30.3263531429033,-36.8709993837716,-38.4544163909171,-13.8584308022759,120.21520894179,122.115921964233,131.123098516212,121.742244157521,97.7005206897563,44.0273125714549,8.90811026095574,-5.49129473152775,134.24914886732,10.984721034168,110.125010872216,97.3186637570388,89.1275749454054,76.2228279115949,51.540952258185,24.7081057849849,14.6414090275926,22.3913823948417
Central Asia,150.299337599317,183.608898297198,180.633721989968,176.848391089448,172.982914782258,169.134895765628,165.052062338348,160.573028090918,155.570414304458,187.391638982327,186.791096401098,186.816631270928,186.839702288688,186.956218731278,187.306067915248,187.305512835678,187.344542746198,187.446052493178,190.343670603787,176.008738150187,185.423520296428,184.151895988538,182.453961402748,180.606538945838,178.802565207928,177.136507530458,176.214030882878,172.453065650178,95.2898545234809,187.40257553258,178.426891588783,167.826695308919,155.357942327297,141.778012140479,128.944961417327,117.595799347026,106.628891922898,194.920514803132,197.32843457117,196.853933014397,197.026203740492,197.906204907913,197.468039427306,197.18770335784,196.581116370492,195.81766886569,207.303641466595,140.99509150469,192.442552810892,187.822292264813,182.758446542826,178.649664652895,175.463715898237,172.27471388521,163.744970183876,152.934558885721,12.3066500050813,173.083243975818,146.559867844813,116.511875394322,85.3751024333471,52.2655995410777,14.7556851758326,8.31891914813023,10.2929836807697,138.515451140878,195.090114934761,200.296224866034,204.146626291164,205.497970756685,204.215701692071,185.777162178062,163.311747529602,150.36498433503,202.77786615955,62.788223200499,183.622605752956,172.100801978127,161.662726691197,144.619720504582,116.39035097835,78.3805681226702,66.5721617376662,51.184383315799
