"","Units","scenario","region","year","value"
"1","MTC","cost_20constraint","Africa_Eastern",1975,2.87711714413
"2","MTC","cost_20constraint","Africa_Eastern",1990,7.29546958
"3","MTC","cost_20constraint","Africa_Eastern",2005,13.2604953101
"4","MTC","cost_20constraint","Africa_Eastern",2010,18.6032482195
"5","MTC","cost_20constraint","Africa_Eastern",2015,22.5690950602
"6","MTC","cost_20constraint","Africa_Eastern",2020,29.2457357872359
"7","MTC","cost_20constraint","Africa_Eastern",2025,32.9961043084987
"8","MTC","cost_20constraint","Africa_Eastern",2030,38.5407112350969
"9","MTC","cost_20constraint","Africa_Eastern",2035,45.2654897689189
"10","MTC","cost_20constraint","Africa_Eastern",2040,54.7542951719184
"11","MTC","cost_20constraint","Africa_Eastern",2045,65.7746949742836
"12","MTC","cost_20constraint","Africa_Eastern",2050,79.9072801225114
"13","MTC","cost_20constraint","Africa_Eastern",2055,99.9780312441959
"14","MTC","cost_20constraint","Africa_Eastern",2060,125.083713201936
"15","MTC","cost_20constraint","Africa_Eastern",2065,152.756859536515
"16","MTC","cost_20constraint","Africa_Eastern",2070,181.319139069605
"17","MTC","cost_20constraint","Africa_Eastern",2075,211.88549255234
"18","MTC","cost_20constraint","Africa_Eastern",2080,249.328701407463
"19","MTC","cost_20constraint","Africa_Eastern",2085,291.941296958647
"20","MTC","cost_20constraint","Africa_Eastern",2090,337.620454729099
"21","MTC","cost_20constraint","Africa_Eastern",2095,385.523866529653
"22","MTC","cost_20constraint","Africa_Eastern",2100,434.094464049077
"23","MTC","cost_20constraint","Africa_Northern",1975,19.424992809
"24","MTC","cost_20constraint","Africa_Northern",1990,68.6011219038
"25","MTC","cost_20constraint","Africa_Northern",2005,112.05107381598
"26","MTC","cost_20constraint","Africa_Northern",2010,132.183306443879
"27","MTC","cost_20constraint","Africa_Northern",2015,148.120052610941
"28","MTC","cost_20constraint","Africa_Northern",2020,168.491675035606
"29","MTC","cost_20constraint","Africa_Northern",2025,183.768981182549
"30","MTC","cost_20constraint","Africa_Northern",2030,205.462699478105
"31","MTC","cost_20constraint","Africa_Northern",2035,224.748273018792
"32","MTC","cost_20constraint","Africa_Northern",2040,244.262596889335
"33","MTC","cost_20constraint","Africa_Northern",2045,264.257993433262
"34","MTC","cost_20constraint","Africa_Northern",2050,284.889860622704
"35","MTC","cost_20constraint","Africa_Northern",2055,304.993035298047
"36","MTC","cost_20constraint","Africa_Northern",2060,322.823150206857
"37","MTC","cost_20constraint","Africa_Northern",2065,334.383666934362
"38","MTC","cost_20constraint","Africa_Northern",2070,346.401189961934
"39","MTC","cost_20constraint","Africa_Northern",2075,354.857565390713
"40","MTC","cost_20constraint","Africa_Northern",2080,361.734169645796
"41","MTC","cost_20constraint","Africa_Northern",2085,370.370060059721
"42","MTC","cost_20constraint","Africa_Northern",2090,379.458044089768
