"","Units","scenario","year","market","value"
"1","1990$/tC","cost_20constraint",1975,"globalCO2",0
"2","1990$/tC","cost_20constraint",1975,"globalCO2_FUG",0
"3","1990$/tC","cost_20constraint",1975,"globalCO2_LUC",0
"4","1990$/tC","cost_20constraint",1990,"globalCO2",0
"5","1990$/tC","cost_20constraint",1990,"globalCO2_FUG",0
"6","1990$/tC","cost_20constraint",1990,"globalCO2_LUC",0
"7","1990$/tC","cost_20constraint",2005,"globalCO2",0
"8","1990$/tC","cost_20constraint",2005,"globalCO2_FUG",0
"9","1990$/tC","cost_20constraint",2005,"globalCO2_LUC",0
"10","1990$/tC","cost_20constraint",2010,"globalCO2",0
"11","1990$/tC","cost_20constraint",2010,"globalCO2_FUG",0
"12","1990$/tC","cost_20constraint",2010,"globalCO2_LUC",0
"13","1990$/tC","cost_20constraint",2015,"globalCO2",0
"14","1990$/tC","cost_20constraint",2015,"globalCO2_FUG",0
"15","1990$/tC","cost_20constraint",2015,"globalCO2_LUC",0
"16","1990$/tC","cost_20constraint",2020,"globalCO2",0
"17","1990$/tC","cost_20constraint",2020,"globalCO2_FUG",0
"18","1990$/tC","cost_20constraint",2020,"globalCO2_LUC",0
"19","1990$/tC","cost_20constraint",2025,"globalCO2",7.30901
"20","1990$/tC","cost_20constraint",2025,"globalCO2_FUG",0
"21","1990$/tC","cost_20constraint",2025,"globalCO2_LUC",0.456813
"22","1990$/tC","cost_20constraint",2030,"globalCO2",9.3758
"23","1990$/tC","cost_20constraint",2030,"globalCO2_FUG",0
"24","1990$/tC","cost_20constraint",2030,"globalCO2_LUC",1.17198
"25","1990$/tC","cost_20constraint",2035,"globalCO2",15.2024
"26","1990$/tC","cost_20constraint",2035,"globalCO2_FUG",0
"27","1990$/tC","cost_20constraint",2035,"globalCO2_LUC",2.85044
"28","1990$/tC","cost_20constraint",2040,"globalCO2",17.6535
"29","1990$/tC","cost_20constraint",2040,"globalCO2_FUG",0
"30","1990$/tC","cost_20constraint",2040,"globalCO2_LUC",4.41337
"31","1990$/tC","cost_20constraint",2045,"globalCO2",22.8612
"32","1990$/tC","cost_20constraint",2045,"globalCO2_FUG",0
"33","1990$/tC","cost_20constraint",2045,"globalCO2_LUC",7.14411
"34","1990$/tC","cost_20constraint",2050,"globalCO2",23.7584
"35","1990$/tC","cost_20constraint",2050,"globalCO2_FUG",0
"36","1990$/tC","cost_20constraint",2050,"globalCO2_LUC",8.9094
"37","1990$/tC","cost_20constraint",2055,"globalCO2",27.9892
"38","1990$/tC","cost_20constraint",2055,"globalCO2_FUG",0
"39","1990$/tC","cost_20constraint",2055,"globalCO2_LUC",12.2453
"40","1990$/tC","cost_20constraint",2060,"globalCO2",32.5268
"41","1990$/tC","cost_20constraint",2060,"globalCO2_FUG",0
"42","1990$/tC","cost_20constraint",2060,"globalCO2_LUC",16.2634
