region,2030_Cost,2030_cost_20constraint,2030_cost_30constraint,2030_cost_40constraint,2030_cost_50constraint,2030_cost_60constraint,2030_cost_70constraint,2030_cost_80constraint,2030_cost_90constraint,2030_Impact,2030_Impact_20constraint,2030_Impact_30constraint,2030_Impact_40constraint,2030_Impact_50constraint,2030_Impact_60constraint,2030_Impact_70constraint,2030_Impact_80constraint,2030_Impact_90constraint,2030_Welfare,2030_Welfare_20constraint,2030_Welfare_30constraint,2030_Welfare_40constraint,2030_Welfare_50constraint,2030_Welfare_60constraint,2030_Welfare_70constraint,2030_Welfare_80constraint,2030_Welfare_90constraint,2050_Cost,2050_cost_20constraint,2050_cost_30constraint,2050_cost_40constraint,2050_cost_50constraint,2050_cost_60constraint,2050_cost_70constraint,2050_cost_80constraint,2050_cost_90constraint,2050_Impact,2050_Impact_20constraint,2050_Impact_30constraint,2050_Impact_40constraint,2050_Impact_50constraint,2050_Impact_60constraint,2050_Impact_70constraint,2050_Impact_80constraint,2050_Impact_90constraint,2050_Welfare,2050_Welfare_20constraint,2050_Welfare_30constraint,2050_Welfare_40constraint,2050_Welfare_50constraint,2050_Welfare_60constraint,2050_Welfare_70constraint,2050_Welfare_80constraint,2050_Welfare_90constraint,2100_Cost,2100_cost_20constraint,2100_cost_30constraint,2100_cost_40constraint,2100_cost_50constraint,2100_cost_60constraint,2100_cost_70constraint,2100_cost_80constraint,2100_cost_90constraint,2100_Impact,2100_Impact_20constraint,2100_Impact_30constraint,2100_Impact_40constraint,2100_Impact_50constraint,2100_Impact_60constraint,2100_Impact_70constraint,2100_Impact_80constraint,2100_Impact_90constraint,2100_Welfare,2100_Welfare_20constraint,2100_Welfare_30constraint,2100_Welfare_40constraint,2100_Welfare_50constraint,2100_Welfare_60constraint,2100_Welfare_70constraint,2100_Welfare_80constraint,2100_Welfare_90constraint
globalCO2,126.557,9.3758,19.677,34.2219,49.2488,63.8897,78.9804,94.5412,110.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.815,23.7584,46.5674,75.1191,108.735,148.464,185.736,219.118,253.601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816.956,46.4309,126.938,227.17,345.48,518.229,809.449,791.025,803.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa_EasternCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6783,3.94154,7.63142,11.9442,17.7247,25.7149,29.0137,18.9022,25.4432,5.55782,0.745169,1.49569,2.54899,3.68034,4.77477,5.80027,6.21336,9.60299,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.481,7.61509,13.0437,14.9532,19.3597,28.9771,42.7974,61.2933,88.5998,43.6922,2.91312,5.44944,8.22791,10.4745,12.8657,16.3303,23.8604,33.3948,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924.23,9.16913,24.0059,39.3553,92.0706,242.404,869.803,1283.53,1642.83,468.442,17.6501,48.2604,85.0968,147.052,251.686,453.415,454.424,640.539
Africa_NorthernCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.0729,6.72797,13.0264,20.388,30.2549,43.8938,49.5246,32.265,43.43,24.7014,3.31186,6.64753,11.3289,16.3571,21.2212,25.779,27.6149,42.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.431,12.9985,22.2648,25.5242,33.0459,49.4622,73.0525,104.624,151.234,154.379,10.293,19.2547,29.0719,37.01,45.4588,57.7003,84.3068,117.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,3284.55,15.6511,40.9766,67.1772,157.159,413.769,1484.7,2190.9,2804.21,692.904,26.1074,71.3852,125.872,217.514,372.285,670.677,672.169,947.463
Africa_SouthernCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7042,3.94476,7.63765,11.9539,17.7391,25.7359,29.0374,18.9177,25.464,8.02796,1.07636,2.16045,3.68188,5.31605,6.89689,8.37817,8.97485,13.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.589,7.62131,13.0543,14.9654,19.3755,29.0008,42.8323,61.3433,88.6721,55.3434,3.68995,6.90262,10.422,13.2677,16.2966,20.685,30.2232,42.3001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925.8,9.17662,24.0255,39.3875,92.1458,242.602,870.513,1284.57,1644.17,507.479,19.1209,52.2821,92.1882,159.306,272.659,491.2,492.293,693.917
Africa_WesternCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.336,12.8575,24.894,38.9624,57.818600000000004,83.8831,94.6438,61.6599,82.9968,9.88056,1.32474,2.65901,4.53155,6.54283,8.48848,10.3116,11.046,17.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.898,24.8407,42.5491,48.7779,63.1523,94.5245,139.607,199.941,289.016,75.7331,5.04941,9.44569,14.2617,18.1559,22.3006,28.3058,41.3581,57.8844,NA,NA,NA,NA,NA,NA,NA,NA,NA,6276.92,29.9101,78.3082,128.379,300.338,790.732,2837.33,4186.91,5358.98,683.145,25.7397,70.3798,124.099,214.451,367.042,661.23,662.702,934.119
ArgentinaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1283,1.50905,2.92174,4.57291,6.78601,9.84514,11.1081,7.23685,9.74112,59.9009,8.03127,16.1202,27.4725,39.6659,51.4614,62.514,66.9662,103.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3386,2.91549,4.99387,5.72493,7.41202,11.0941,16.3853,23.4666,33.9211,305.845,20.3919,38.146,57.5953,73.3217,90.06,114.312,167.023,233.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,736.706,3.51047,9.19083,15.0675,35.2499,92.8062,333.01,491.407,628.969,975.921,36.771,100.543,177.285,306.358,524.345,944.615,946.717,1334.46
Australia_NZCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0582,3.11784,6.03661,9.44808,14.0206,20.341,22.9504,14.9521,20.1261,293.947,39.4112,79.1056,134.813,194.649,252.532,306.77,328.618,507.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.004,6.02369,10.3178,11.8283,15.314,22.9215,33.8536,48.4842,70.0842,1240.86,82.7327,154.764,233.673,297.477,365.386,463.78,677.636,948.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,1522.11,7.25297,18.9892,31.1309,72.8297,191.747,688.032,1015.3,1299.51,3318.13,125.021,341.845,602.769,1041.62,1782.77,3211.69,3218.84,4537.15
BrazilCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.076,14.6915,28.4449,44.5201,66.066,95.8484,108.144,70.4552,94.8357,62.9886,8.44525,16.9512,28.8886,41.7105,54.114,65.7364,70.4181,108.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,490.077,28.3841,48.6184,55.7357,72.1605,108.008,159.521,228.461,330.242,305.845,20.3919,38.146,57.5953,73.3217,90.06,114.312,167.023,233.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,7172.28,34.1765,89.4783,146.691,343.179,903.525,3242.06,4784.15,6123.4,1053.99,39.7126,108.586,191.468,330.867,566.293,1020.18,1022.45,1441.21
CanadaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,258.13,34.609,69.4666,118.387,170.931,221.761,269.39,288.576,446.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,1092.3,72.828,136.236,205.698,261.863,321.643,408.257,596.51,834.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,2878.97,108.474,296.601,522.991,903.756,1546.82,2786.61,2792.82,3936.64
Central America and CaribbeanCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2045,3.3849,6.55368,10.2574,15.2215,22.0833,24.9162,16.2328,21.85,29.6417,3.97423,7.97703,13.5946,19.6285,25.4654,30.9348,33.1379,51.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.913,6.53966,11.2016,12.8414,16.6257,24.8848,36.7534,52.6372,76.0873,171.856,11.4583,21.4344,32.3631,41.1998,50.6051,64.2324,93.851,131.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,1652.48,7.87423,20.6157,33.7974,79.068,208.171,746.965,1102.26,1410.82,888.088,33.4616,91.4937,161.329,278.786,477.154,859.6,861.513,1214.35
Central AsiaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,33.9644,4.55381,9.14035,15.5772,22.491,29.1791,35.4461,37.9705,58.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,192.245,12.8177,23.9775,36.2028,46.0879,56.6091,71.8532,104.986,146.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,653.867,24.6365,67.3635,118.781,205.26,351.311,632.892,634.3,894.085
ChinaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.274,14.5917,28.2518,44.2178,65.6174,95.1976,107.41,69.9768,94.1919,64.2237,8.61084,17.2836,29.455,42.5284,55.1751,67.0254,71.7988,110.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.749,28.1914,48.2883,55.3573,71.6706,107.274,158.438,226.91,328,361.188,24.0818,45.0487,68.0174,86.5895,106.357,134.997,197.246,276.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,7123.58,33.9445,88.8708,145.695,340.849,897.39,3220.05,4751.67,6081.83,1053.99,39.7126,108.586,191.468,330.867,566.293,1020.18,1022.45,1441.21
ColombiaCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5671,2.68346,5.19559,8.13179,12.0672,17.5071,19.753,12.8689,17.3222,46.9327,6.29254,12.6303,21.5248,31.0784,40.3203,48.9801,52.4684,81.0919,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5147,5.18448,8.88036,10.1804,13.1804,19.7281,29.1372,41.7295,60.3202,259.24,17.2845,32.3333,48.8189,62.1489,76.3365,96.893,141.572,198.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310.05,6.2425,16.3436,26.7938,62.6832,165.033,592.176,873.846,1118.47,1102.79,41.5512,113.613,200.332,346.184,592.51,1067.41,1069.79,1507.93
EU-12CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,103.128,13.827,27.7534,47.298,68.2907,88.5985,107.627,115.292,178.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,521.393,34.7633,65.0299,98.1863,124.996,153.531,194.875,284.734,398.512,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,1678.58,63.246,172.933,304.93,526.936,901.874,1624.74,1628.35,2295.26
EU-15CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,222.313,29.8068,59.8277,101.96,147.214,190.991,232.011,248.534,384.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,984.53,65.6423,122.794,185.402,236.026,289.907,367.975,537.655,752.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,2869.21,108.107,295.595,521.218,900.692,1541.57,2777.17,2783.35,3923.3
Europe_EasternCO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58598,0.321758,0.622973,0.975034,1.44691,2.09918,2.36846,1.54304,2.077,24.0839,3.22907,6.48134,11.0456,15.9481,20.6907,25.1345,26.9246,41.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7332,0.62164,1.06479,1.22067,1.58039,2.36548,3.49366,5.00353,7.23264,142.728,9.5162,17.8015,26.8778,34.2168,42.028,53.3456,77.944,109.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.08,0.748501,1.95966,3.21268,7.51597,19.7881,71.0043,104.778,134.109,566.034,21.3272,58.3147,102.825,177.688,304.12,547.877,549.096,773.984
