GCAMRegion,Country,Series Name,Country Code,2022 [YR2022],MitigationCost_Efficiency2030 (2022millionUS$),MitigationCost_Efficiency2050 (2022millionUS$),MitigationCost_Efficiency2100 (2022millionUS$),MitigationCost_Equity2030 (2022millionUS$),MitigationCost_Equity2050 (2022millionUS$),MitigationCost_Equity2100 (2022millionUS$),GDP2030 (2022millionUS$),GDP2050 (2022millionUS$),GDP2100 (2022millionUS$),factor
Africa_Eastern,Burundi,GDP (current US$),BDI,3338722828,8,186,3881,0,0,1281,6047,18839,167514,0.008400276064384466
Africa_Eastern,Comoros,GDP (current US$),COM,1242519408,3,69,1444,0,0,477,2250,7011,62341,0.003126197225784074
Africa_Eastern,Djibouti,GDP (current US$),DJI,3674298479,8,205,4271,0,0,1410,6655,20733,184351,0.009244589370432146
Africa_Eastern,Ethiopia,GDP (current US$),ETH,127000000000,285,7090,147631,1,12,48734,230012,716608,6371981,0.3195338802100847
Africa_Eastern,Kenya,GDP (current US$),KEN,113000000000,254,6309,131356,1,11,43362,204657,637612,5669558,0.2843096729428313
Africa_Eastern,Madagascar,GDP (current US$),MDG,15302510500,34,854,17788,0,1,5872,27715,86346,767774,0.03850134296866586
Africa_Eastern,Mauritius,GDP (current US$),MUS,12927979286,29,722,15028,0,1,4961,23414,72947,648637,0.03252698727977308
Africa_Eastern,Rwanda,GDP (current US$),RWA,13316160804,30,743,15479,0,1,5110,24117,75138,668113,0.0335036577260123
Africa_Eastern,Somalia,GDP (current US$),SOM,10419541202,23,582,12112,0,1,3998,18871,58793,522780,0.02621571992349536
Africa_Eastern,Sudan,GDP (current US$),SDN,51666875363,116,2884,60060,1,5,19826,93575,291534,2592286,0.12999462333126158
Africa_Eastern,Uganda,GDP (current US$),UGA,45565333216,102,2544,52967,0,4,17485,82524,257106,2286153,0.11464305295727512
Africa_Northern,Algeria,GDP (current US$),DZA,226000000000,923,9595,61530,72,1835,48841,425383,864811,2483902,0.24183577197537248
Central America and Caribbean,Antigua & Barbuda,GDP (current US$),ATG,1867733333,4,53,467,0,8,367,3183,5902,18913,0.0034019933362776067
Africa_Northern,Libya,GDP (current US$),LBY,55938727098,228,2375,15230,18,454,12089,105289,214055,614807,0.05985834181886955
Africa_Northern,Morocco,GDP (current US$),MAR,131000000000,535,5561,35666,42,1064,28310,246571,501284,1439784,0.1401791421627159
Africa_Northern,Tunisia,GDP (current US$),TUN,44579761023,182,1893,12137,14,362,9634,83909,170589,489963,0.047703455404755866
Central America and Caribbean,Bahamas,GDP (current US$),BHS,13136400000,25,374,3287,3,57,2584,22387,41512,133019,0.023927369326805902
Africa_Southern,Angola,GDP (current US$),AGO,104000000000,257,5816,121757,3,162,75104,204316,525629,4340434,0.34321703489593236
Africa_Southern,Botswana,GDP (current US$),BWA,20321958850,50,1137,23792,1,32,14676,39924,102710,848136,0.06706579288244376
Africa_Southern,Lesotho,GDP (current US$),LSO,2289355249,6,128,2680,0,4,1653,4498,11571,95546,0.007555247311396335
Africa_Southern,Malawi,GDP (current US$),MWI,13129458326,32,734,15371,0,20,9482,25794,66358,547957,0.04332936304268684
Africa_Southern,Mozambique,GDP (current US$),MOZ,18406835495,46,1029,21550,1,29,13293,36162,93030,768208,0.06074557211933751
