GCAM_REG,Pollutant,AGG_SEC,MC (million Euros per kt),Delta EM (kt),EM (kt),CUM_REDUCTIONS (kt)
Africa_Eastern,NH3,ALL,,0,3910.585961,0
Africa_Eastern,NH3,Agriculture,-0.254,-45.731873,0,-45.731873
Africa_Eastern,NH3,Agriculture,0.126,-30.8403984,0,-76.5722714
Africa_Eastern,NH3,Agriculture,0.152,-76.5729164,0,-153.1451878
Africa_Eastern,NH3,Agriculture,0.475,-76.5729164,0,-229.7181042
Africa_Eastern,NH3,Agriculture,0.631,-76.5729163,0,-306.2910205
Africa_Eastern,NH3,Agriculture,0.675,-76.5729165,0,-382.863937
Africa_Eastern,NH3,Agriculture,0.707,-76.5729164,0,-459.4368534
Africa_Eastern,NH3,Agriculture,0.836,-76.5729165,0,-536.0097699
Africa_Eastern,NH3,Agriculture,1.181,-76.5729163,0,-612.5826862
Africa_Eastern,NH3,Agriculture,3.316,-76.5729165,0,-689.1556027
Africa_Eastern,NH3,Agriculture,5.688,-74.4011574,0,-763.5567601
Africa_Eastern,NH3,Agriculture,,0,3622.783123,-763.5567601
Africa_Eastern,NH3,Industry,26.819,-0.1184199,0,-0.1184199
Africa_Eastern,NH3,Industry,,0,0.2837655,-0.1184199
Africa_Eastern,NH3,Other,,0,276.565516,0
Africa_Eastern,NH3,Power,19.617,-0.003524,0,-0.003524
Africa_Eastern,NH3,Power,,0,0.0535897,-0.003524
Africa_Eastern,NH3,Residential/Commercial,,0,6.51807,0
Africa_Eastern,NH3,Transport,38.95,-2.0498153,0,-2.0498153
Africa_Eastern,NH3,Transport,,0,4.3818969,-2.0498153
Africa_Eastern,NOX,ALL,,0,1157.590419,0
Africa_Eastern,NOX,Agriculture,0.553,-51.8832653,0,-51.8832653
Africa_Eastern,NOX,Agriculture,,0,158.4457084,-51.8832653
Africa_Eastern,NOX,Industry,-14.889,-0.2117759,0,-0.2117759
Africa_Eastern,NOX,Industry,0.059,-7.6622477,0,-7.8740236
Africa_Eastern,NOX,Industry,0.412,-31.387714,0,-39.2617376
Africa_Eastern,NOX,Industry,0.565,-21.704309,0,-60.9660466
Africa_Eastern,NOX,Industry,0.801,-19.4948988,0,-80.4609454
Africa_Eastern,NOX,Industry,1.833,-3.8398818,0,-84.3008272
Africa_Eastern,NOX,Industry,2.106,-11.2582767,0,-95.5591039
Africa_Eastern,NOX,Industry,2.522,-10.0361811,0,-105.595285
Africa_Eastern,NOX,Industry,6.14,-0.8148021,0,-106.4100871
Africa_Eastern,NOX,Industry,16.865,-0.7212813,0,-107.1313684
Africa_Eastern,NOX,Industry,,0,140.0619229,-107.1313684
Africa_Eastern,NOX,Other,,0,8.68,0
Africa_Eastern,NOX,Power,0.085,-7.601748,0,-7.601748
Africa_Eastern,NOX,Power,0.228,-1.2285895,0,-8.8303375
Africa_Eastern,NOX,Power,0.67,-0.4479672,0,-9.2783047
Africa_Eastern,NOX,Power,0.764,-1.4404074,0,-10.7187121
Africa_Eastern,NOX,Power,1.771,-0.4559269,0,-11.174639
Africa_Eastern,NOX,Power,2.148,-4.8254004,0,-16.0000394
Africa_Eastern,NOX,Power,2.235,-0.965616,0,-16.9656554
Africa_Eastern,NOX,Power,8.185,-0.00954,0,-16.9751954
Africa_Eastern,NOX,Power,9.831,-0.2285625,0,-17.2037579
Africa_Eastern,NOX,Power,,0,21.03704,-17.2037579
Africa_Eastern,NOX,Residential/Commercial,1.241,-0.01856,0,-0.01856
Africa_Eastern,NOX,Residential/Commercial,3.321,-0.0128832,0,-0.0314432
Africa_Eastern,NOX,Residential/Commercial,7.294,-0.4676472,0,-0.4990904
Africa_Eastern,NOX,Residential/Commercial,12.412,-2.8166496,0,-3.31574
Africa_Eastern,NOX,Residential/Commercial,,0,58.37964,-3.31574
Africa_Eastern,NOX,Transport,0,-0.004131,0,-0.004131
Africa_Eastern,NOX,Transport,0.066,-55.8989049,0,-55.9030359
Africa_Eastern,NOX,Transport,0.212,-41.6669561,0,-97.569992
Africa_Eastern,NOX,Transport,0.917,-4.2090532,0,-101.7790452
Africa_Eastern,NOX,Transport,1.208,-49.3680585,0,-151.1471037
Africa_Eastern,NOX,Transport,1.666,-69.9874511,0,-221.1345548
Africa_Eastern,NOX,Transport,2.409,-62.0567272,0,-283.191282
Africa_Eastern,NOX,Transport,5.31,-59.4114351,0,-342.6027171
Africa_Eastern,NOX,Transport,6.284,-73.4684577,0,-416.0711748
Africa_Eastern,NOX,Transport,7.263,-73.8060058,0,-489.8771806
Africa_Eastern,NOX,Transport,10.124,-67.1690426,0,-557.0462232
Africa_Eastern,NOX,Transport,,0,761.3428027,-557.0462232
Africa_Eastern,NOX,Waste,-235.279,-2.8989294,0,-2.8989294
Africa_Eastern,NOX,Waste,0,-0.0055231,0,-2.9044525
Africa_Eastern,NOX,Waste,95.449,-3.3477233,0,-6.2521758
Africa_Eastern,NOX,Waste,,0,9.6433051,-6.2521758
Africa_Eastern,PM,ALL,,0,847.3886002,0
Africa_Eastern,PM,Agriculture,0.12,-238.5872779,0,-238.5872779
Africa_Eastern,PM,Agriculture,532.483,-1.1316264,0,-239.7189043
Africa_Eastern,PM,Agriculture,,0,334.7285973,-239.7189043
Africa_Eastern,PM,Industry,-0.184,-17.1813076,0,-17.1813076
Africa_Eastern,PM,Industry,0.104,-10.7720476,0,-27.9533552
Africa_Eastern,PM,Industry,0.323,-0.0920607,0,-28.0454159
Africa_Eastern,PM,Industry,1.386,-28.1014732,0,-56.1468891
Africa_Eastern,PM,Industry,1.398,-3.5488242,0,-59.6957133
Africa_Eastern,PM,Industry,1.492,-0.6431966,0,-60.3389099
Africa_Eastern,PM,Industry,5.661,-1.612042,0,-61.9509519
Africa_Eastern,PM,Industry,8.744,-2.8815855,0,-64.8325374
Africa_Eastern,PM,Industry,18.713,-0.0517979,0,-64.8843353
Africa_Eastern,PM,Industry,81.176,-1.8957543,0,-66.7800896
Africa_Eastern,PM,Industry,123.381,-16.5891456,0,-83.3692352
Africa_Eastern,PM,Industry,,0,111.160375,-83.3692352
Africa_Eastern,PM,Power,0.092,-0.0185399,0,-0.0185399
Africa_Eastern,PM,Power,0.134,-0.003192,0,-0.0217319
Africa_Eastern,PM,Power,0.709,-0.1501602,0,-0.1718921
Africa_Eastern,PM,Power,0.712,-0.8065864,0,-0.9784785
Africa_Eastern,PM,Power,3.255,-0.0424316,0,-1.0209101
Africa_Eastern,PM,Power,10.257,-0.0810394,0,-1.1019495
Africa_Eastern,PM,Power,10.527,-0.4748799,0,-1.5768294
Africa_Eastern,PM,Power,13.229,-0.0020554,0,-1.5788848
Africa_Eastern,PM,Power,266.067,-0.0049594,0,-1.5838442
Africa_Eastern,PM,Power,,0,1.6163108,-1.5838442
Africa_Eastern,PM,Residential/Commercial,0,-0.0027026,0,-0.0027026
Africa_Eastern,PM,Residential/Commercial,6.061,-4.2556735,0,-4.2583761
Africa_Eastern,PM,Residential/Commercial,6.696,-24.1464667,0,-28.4048428
Africa_Eastern,PM,Residential/Commercial,7.801,-3.2320887,0,-31.6369315
Africa_Eastern,PM,Residential/Commercial,8.049,-51.1297354,0,-82.7666669
Africa_Eastern,PM,Residential/Commercial,9.767,-54.2694232,0,-137.0360901
Africa_Eastern,PM,Residential/Commercial,9.83,-16.0624257,0,-153.0985158
Africa_Eastern,PM,Residential/Commercial,196.351,-32.6340944,0,-185.7326102
Africa_Eastern,PM,Residential/Commercial,,0,275.6604498,-185.7326102
Africa_Eastern,PM,Transport,0.463,-0.6675719,0,-0.6675719
Africa_Eastern,PM,Transport,0.58,-2.6676868,0,-3.3352587
Africa_Eastern,PM,Transport,1.372,-14.8099953,0,-18.145254
Africa_Eastern,PM,Transport,3.779,-1.9044742,0,-20.0497282
Africa_Eastern,PM,Transport,4.41,-0.563049,0,-20.6127772
Africa_Eastern,PM,Transport,8.598,-3.9537433,0,-24.5665205
Africa_Eastern,PM,Transport,49.011,-3.4815046,0,-28.0480251
Africa_Eastern,PM,Transport,54.095,-21.1216424,0,-49.1696675
Africa_Eastern,PM,Transport,72.832,-9.3335297,0,-58.5031972
Africa_Eastern,PM,Transport,,0,77.1518493,-58.5031972
Africa_Eastern,PM,Waste,-300.195,-2.2720515,0,-2.2720515
Africa_Eastern,PM,Waste,0,-0.0412058,0,-2.3132573
Africa_Eastern,PM,Waste,3.284,-7.3459914,0,-9.6592487
Africa_Eastern,PM,Waste,9.489,-2.9383956,0,-12.5976443
Africa_Eastern,PM,Waste,20.299,-2.8313043,0,-15.4289486
Africa_Eastern,PM,Waste,20.345,-21.0813832,0,-36.5103318
Africa_Eastern,PM,Waste,283.179,-0.9427298,0,-37.4530616
Africa_Eastern,PM,Waste,,0,47.071018,-37.4530616
Africa_Eastern,SO2,ALL,,0,214.5661456,0
Africa_Eastern,SO2,Agriculture,1.263,-22.7225979,0,-22.7225979
