region,Categories,GHG,2020,2030,2050,2100
Africa_Eastern,agriculture,BC,0.011942836,0.013122704,0.012959863,0.007240918
Africa_Eastern,agriculture,CH4,4.391505872,5.211797368,6.492819373,10.04217433
Africa_Eastern,agriculture,CO,2.671236069,2.926533201,2.911728021,1.796691088
Africa_Eastern,agriculture,NH3,1.450133769,1.753404694,2.220223478,3.381916695
Africa_Eastern,agriculture,NMVOC,0.787339152,0.869263397,0.88472386,0.646329671
Africa_Eastern,agriculture,NOx,0.246759254,0.2838786,0.327815251,0.422745486
Africa_Eastern,agriculture,OC,0.049587853,0.055163159,0.055434452,0.031059666
Africa_Eastern,agriculture,SO2,0.014572387,0.014909989,0.01366899,0.009280999
Africa_Eastern,industry,BC,0.008264302,0.01262681,0.020469511,0.005761133
Africa_Eastern,industry,CH4,0.00357704,0.005748072,0.009723042,0.00294837
Africa_Eastern,industry,CO,0.192261545,0.29528334,0.461413673,0.105764445
Africa_Eastern,industry,NH3,0.009312462,0.015514359,0.02787868,0.015758748
Africa_Eastern,industry,NMVOC,0.873448771,1.492465329,3.174343862,5.704407606
Africa_Eastern,industry,NOx,0.10802033,0.162420988,0.273636046,0.143899613
Africa_Eastern,industry,OC,0.016622394,0.027556636,0.04568492,0.004659919
Africa_Eastern,industry,SO2,0.102371655,0.146663983,0.234363058,0.11374743
Africa_Eastern,power,BC,0.006252782,0.011902639,0.008596721,5.17E-05
Africa_Eastern,power,CH4,0.165650073,0.164202929,0.127466059,0.051109421
Africa_Eastern,power,CO,0.092502785,0.128826211,0.239850913,0.626920092
Africa_Eastern,power,NH3,0.001433193,0.003333607,0.003192631,1.09E-04
Africa_Eastern,power,NMVOC,0.115583352,0.122268914,0.097877812,0.024186348
Africa_Eastern,power,NOx,0.232342949,0.174602464,0.140604847,0.211506346
Africa_Eastern,power,OC,0.010187336,0.038407591,0.030669838,2.25E-04
Africa_Eastern,power,SO2,0.15723424,0.091469367,0.048912764,0.042824479
Africa_Eastern,residential commercial,BC,0.207932057,0.233743241,0.167455857,0.029048296
Africa_Eastern,residential commercial,CH4,2.995980992,3.430125641,3.852375065,2.987334663
Africa_Eastern,residential commercial,CO,16.21527989,17.98311084,13.0775557,1.534290766
Africa_Eastern,residential commercial,NH3,1.058021082,1.271575965,1.471227107,1.427486405
Africa_Eastern,residential commercial,NMVOC,2.698403881,3.14943031,2.869139609,1.050894583
Africa_Eastern,residential commercial,NOx,0.256748592,0.287888737,0.230789122,0.080143439
Africa_Eastern,residential commercial,OC,0.738347794,0.830708229,0.603647448,0.134638088
Africa_Eastern,residential commercial,SO2,0.042698029,0.049025516,0.044424497,0.019521218
Africa_Eastern,transportation,BC,0.027326357,0.025750125,0.026001853,0.05386748
Africa_Eastern,transportation,CH4,0.005784623,0.005561432,0.007352474,0.01831108
Africa_Eastern,transportation,CO,1.792810951,1.701694957,2.254808732,5.608657426
Africa_Eastern,transportation,NH3,8.37E-04,9.69E-04,0.002055578,0.009955518
Africa_Eastern,transportation,NMVOC,0.362646368,0.344107876,0.4572528,1.134908225
Africa_Eastern,transportation,NOx,0.440070504,0.411787749,0.458242168,0.920758079
Africa_Eastern,transportation,OC,0.009251036,0.008820886,0.009295604,0.020181562
Africa_Eastern,transportation,SO2,0.046335263,0.040793335,0.038561757,0.072573587
Africa_Eastern,wildfire,BC,0.095323178,0.096203743,0.097210441,0.097891382
Africa_Eastern,wildfire,CH4,0.499802775,0.504419734,0.509698159,0.513268437
Africa_Eastern,wildfire,CO,16.23069461,16.38063052,16.55203886,16.66797802
Africa_Eastern,wildfire,NH3,0.133967688,0.135205246,0.136620066,0.137577057
Africa_Eastern,wildfire,NMVOC,2.835956847,2.862154825,2.892104944,2.912363745
Africa_Eastern,wildfire,NOx,1.004758362,1.014039997,1.02465119,1.031828529
Africa_Eastern,wildfire,OC,0.674991847,0.681227212,0.688355682,0.693177429
Africa_Eastern,wildfire,SO2,0.123662427,0.124804804,0.12611079,0.126994155
Africa_Northern,agriculture,BC,0.006357189,0.005303611,0.002899275,0.001265367
Africa_Northern,agriculture,CH4,1.540216189,1.849591629,2.530374179,3.346633844
Africa_Northern,agriculture,CO,0.083273826,0.074715173,0.052381189,0.039272144
Africa_Northern,agriculture,NH3,0.553560282,0.68128993,0.900014027,1.095697391
Africa_Northern,agriculture,NMVOC,0.155255445,0.186487293,0.246273315,0.329516028
Africa_Northern,agriculture,NOx,0.082900003,0.088451754,0.0949656,0.102271875
Africa_Northern,agriculture,OC,0.008584754,0.007845934,0.00571967,0.004586097
Africa_Northern,agriculture,SO2,0.023083912,0.018559669,0.008703578,0.001074696
Africa_Northern,industry,BC,0.014326076,0.018231718,0.021326064,0.012674968
Africa_Northern,industry,CH4,0.006062951,0.008062076,0.011079433,0.010914533
Africa_Northern,industry,CO,0.199765478,0.247387185,0.286457044,0.182176238
Africa_Northern,industry,NH3,0.015612618,0.022999294,0.041272169,0.067531565
Africa_Northern,industry,NMVOC,0.558957208,0.67038998,0.772149102,1.177846103
Africa_Northern,industry,NOx,0.176578018,0.201331737,0.202202852,0.082196725
Africa_Northern,industry,OC,0.022212015,0.031826202,0.040781821,0.013430903
Africa_Northern,industry,SO2,0.351542447,0.403876593,0.438851068,0.181151392
Africa_Northern,power,BC,0.021478009,0.035869197,0.023302577,0.007387202
Africa_Northern,power,CH4,6.237257031,6.664203535,8.809091024,8.426382565
Africa_Northern,power,CO,0.597008703,1.409248919,0.934519889,0.443552057
Africa_Northern,power,NH3,0.009527971,0.030160829,0.024276076,5.86E-04
Africa_Northern,power,NMVOC,0.835707288,1.057439891,1.416629746,2.20425949
Africa_Northern,power,NOx,1.795346335,4.728731687,2.380842145,0.119100363
Africa_Northern,power,OC,0.032072436,0.097258686,0.050310704,0.001733907
Africa_Northern,power,SO2,0.561980588,0.34116165,0.103955948,0.020195823
Africa_Northern,residential commercial,BC,0.048049217,0.044574138,0.034345212,0.023272763
Africa_Northern,residential commercial,CH4,1.859932443,1.785557748,1.616050229,0.661808654
Africa_Northern,residential commercial,CO,1.395645848,1.269541581,0.896934585,0.443836986
Africa_Northern,residential commercial,NH3,0.272916844,0.302691873,0.339752042,0.34355667
Africa_Northern,residential commercial,NMVOC,0.266067719,0.268226439,0.250950742,0.314125944
Africa_Northern,residential commercial,NOx,0.14285446,0.13144288,0.097079225,0.044961642
Africa_Northern,residential commercial,OC,0.202047513,0.185882763,0.151406201,0.111408044
Africa_Northern,residential commercial,SO2,0.024024437,0.021751437,0.017743006,0.018144754
Africa_Northern,transportation,BC,0.110969234,0.095118106,0.078968528,0.077137687
Africa_Northern,transportation,CH4,0.016979205,0.015270225,0.014477597,0.013715187
Africa_Northern,transportation,CO,3.671169182,3.158974065,2.784688934,2.600467194
Africa_Northern,transportation,NH3,0.007324164,0.00681365,0.007412006,0.007593095
Africa_Northern,transportation,NMVOC,0.90187862,0.774175435,0.679701331,0.6312407
Africa_Northern,transportation,NOx,1.051327716,0.899328391,0.739010664,0.68051371
Africa_Northern,transportation,OC,0.037320624,0.032442254,0.027476927,0.027065858
Africa_Northern,transportation,SO2,0.239904705,0.20965282,0.167102059,0.158351352
Africa_Northern,wildfire,BC,2.08E-04,2.08E-04,2.10E-04,2.12E-04
Africa_Northern,wildfire,CH4,0.001090382,0.001091252,0.001098555,0.001112148
Africa_Northern,wildfire,CO,0.0354093,0.035437548,0.035674714,0.036116115
