scenario,GCAMRegion,GHG,2020,2030,2050,2100
Efficiency,Africa_Eastern,BC,0.357041512,0.393349262,0.332694246,0.193860909
Efficiency,Africa_Eastern,CH4,8.062301374999999,9.321855176,10.999434171999999,13.615146301
Efficiency,Africa_Eastern,CO,37.19478585,39.416079069,35.497395899,26.340301837
Efficiency,Africa_Eastern,NH3,2.653705194,3.180002871,3.86119754,4.972803423
Efficiency,Africa_Eastern,NMVOC,7.673378371,8.839690651,10.375442887,11.473090178
Efficiency,Africa_Eastern,NOx,2.288699991,2.334618535,2.455738624,2.810881492
Efficiency,Africa_Eastern,OC,1.49898826,1.641883713,1.433087944,0.883941664
Efficiency,Africa_Eastern,PM,2.536298876,2.780577901,2.415279427,1.477283959
Efficiency,Africa_Eastern,SO2,0.486874001,0.467666994,0.5060418560000001,0.38494186799999996
Efficiency,Africa_Northern,BC,0.201387725,0.19930477,0.161051656,0.121949987
Efficiency,Africa_Northern,CH4,9.661538201,10.323776465,12.982171017,12.460566931
Efficiency,Africa_Northern,CO,5.9822723369999995,6.195304471,4.9906563550000005,3.745420734
Efficiency,Africa_Northern,NH3,0.8592338789999999,1.044248576,1.31302032,1.515262721
Efficiency,Africa_Northern,NMVOC,2.723577439,2.962434753,3.371458203,4.662813427000001
Efficiency,Africa_Northern,NOx,3.251198542,6.051480207,3.516308926,1.0312800800000002
Efficiency,Africa_Northern,OC,0.30370992,0.356729592,0.277178939,0.159726782
Efficiency,Africa_Northern,PM,0.655831636,0.729358701,0.5735221739999999,0.36255440499999997
Efficiency,Africa_Northern,SO2,1.2008060889999999,0.9952721689999999,0.736627659,0.379193017
Efficiency,Africa_Southern,BC,0.487571205,0.50117825,0.469854712,0.36747554000000004
Efficiency,Africa_Southern,CH4,11.389029367000001,10.754344777,10.246668224999999,7.238029013999999
Efficiency,Africa_Southern,CO,71.124829736,76.753753663,87.49215243500001,75.843758024
Efficiency,Africa_Southern,NH3,1.685789625,1.813614625,2.014313211,2.233284107
Efficiency,Africa_Southern,NMVOC,14.099496634,14.766908499,16.011922002,15.574464996000001
Efficiency,Africa_Southern,NOx,4.492428898,5.575060187,8.404371,8.360955173
Efficiency,Africa_Southern,OC,2.783073388,2.82097007,2.7270488719999997,2.309812691
Efficiency,Africa_Southern,PM,4.516123271,4.585283275,4.41652007,3.707254582
Efficiency,Africa_Southern,SO2,1.985813721,2.7738019929999997,4.875748378,5.9588878
Efficiency,Africa_Western,BC,0.860942314,0.902652177,0.867668841,0.562429244
Efficiency,Africa_Western,CH4,20.701514697,23.336980542,27.259373993,22.969068528
Efficiency,Africa_Western,CO,115.56423003799999,114.917125613,111.553848671,91.259207759
Efficiency,Africa_Western,NH3,3.81941086,4.406404222,5.490029056,5.998525974
Efficiency,Africa_Western,NMVOC,23.311849878,24.606484088,27.765744787,28.521543425
Efficiency,Africa_Western,NOx,6.021415098,6.089857472,6.662817189,7.067087339
Efficiency,Africa_Western,OC,4.4397269040000005,4.469797387,4.37289362,3.051650362
Efficiency,Africa_Western,PM,7.295846019,7.384727657,7.207673602,4.982531913
Efficiency,Africa_Western,SO2,0.934862061,0.969046541,1.256872949,1.22306106
Efficiency,Argentina,BC,0.057610208999999996,0.0452975,0.033191166,0.022412485
Efficiency,Argentina,CH4,5.078943926,5.371277207,5.87568964,5.198748522
Efficiency,Argentina,CO,5.500364072,4.433210338,3.459395732,2.76934098
Efficiency,Argentina,NH3,0.538728282,0.59714996,0.651627429,0.620196741
Efficiency,Argentina,NMVOC,1.20507761,0.994801854,0.844426028,0.860764537
Efficiency,Argentina,NOx,1.2674598160000001,0.956818179,0.677857618,0.405776577
Efficiency,Argentina,OC,0.21899932,0.189129686,0.167188394,0.149326862
Efficiency,Argentina,PM,0.376539889,0.32028189,0.275589566,0.23819104200000002
Efficiency,Argentina,SO2,0.187190928,0.133040524,0.09473751700000001,0.06271621
Efficiency,Australia_NZ,BC,0.11535556599999999,0.109037056,0.105962996,0.103188739
Efficiency,Australia_NZ,CH4,7.019294654,6.531684998999999,6.779052968999999,5.576866250999999
Efficiency,Australia_NZ,CO,18.101576822,17.277619136,16.908105751,17.164498835
Efficiency,Australia_NZ,NH3,0.969138293,1.184977442,1.420315226,1.4704153439999998
Efficiency,Australia_NZ,NMVOC,3.7512055579999997,3.559806174,3.481544827,3.5206116439999997
Efficiency,Australia_NZ,NOx,2.039988355,1.763866662,1.586610473,1.5670685789999999
Efficiency,Australia_NZ,OC,0.839195122,0.824808046,0.831985249,0.844489339
Efficiency,Australia_NZ,PM,1.326939961,1.299416469,1.306299523,1.321127755
Efficiency,Australia_NZ,SO2,0.912380693,0.548984919,0.3448424,0.23652096499999997
Efficiency,Brazil,BC,0.265665244,0.230668831,0.194119248,0.118183889
Efficiency,Brazil,CH4,19.084431875,18.689943088,18.475454845,14.728399558
Efficiency,Brazil,CO,30.634600275,24.388320504,18.907665090000002,15.90207291
