ISO,Efficiency_eta_1,Efficiency_eta_1.5,Efficiency_eta_2,Efficiency_eta_2.5,Efficiency_eta_3,Equity_eta_1,Equity_eta_1.5,Equity_eta_2,Equity_eta_2.5,Equity_eta_3,PercentChange_eta_1,PercentChange_eta_1.5,PercentChange_eta_2,PercentChange_eta_2.5,PercentChange_eta_3,AQ_eta_1,AQ_eta_1.5,AQ_eta_2,AQ_eta_2.5,AQ_eta_3,PercentChange_eta_1_AQ,PercentChange_eta_1.5_AQ,PercentChange_eta_2_AQ,PercentChange_eta_2.5_AQ,PercentChange_eta_3_AQ
AFG,16725141.66,57162544.28,199059136.9,710186906.4,2613143311,17132748.1,58784710.62,205894718.9,740810789.8,2758802412,2.4,2.8,3.4,4.3,5.6,17315049.6,59571930.12,209516567.4,758532896.8,2850420573,3.5,4.2,5.3,6.8,9.1
AGO,-564033.1735,-471044.1008,-445615.5769,-478200.5943,-571771.1352,-128518.681,-85630.87552,-51988.99073,-22560.23606,6694.823991,77.2,81.8,88.3,95.3,101.2,-406156.0707,-428766.4823,-500561.5154,-632586.8994,-846569.7716,28.0,9.0,-12.3,-32.3,-48.1
ALB,295390.9843,211167.9773,157096.6107,122063.1713,99241.3899,351181.3342,250217.8286,185405.2702,143393.2654,115984.9945,18.9,18.5,18,17.5,16.9,351181.3342,250217.8286,185405.2702,143393.2654,115984.9945,18.9,18.5,18.0,17.5,16.9
ARE,1199039.017,429772.6963,155890.1254,57268.4615,21321.5587,1258629.67,455040.3174,166957.6164,62263.53219,23636.67582,5,5.9,7.1,8.7,10.9,1260962.049,456321.4669,167662.4219,62651.85943,23850.95238,5.2,6.2,7.6,9.4,11.9
ARG,-126404.7622,-97587.28848,-76364.05687,-60601.17202,-48785.78886,-29798.37905,-24353.97022,-19577.52093,-15597.28166,-12379.56938,76.4,75,74.4,74.3,74.6,-28231.99077,-22835.5257,-18103.76251,-14165.18549,-10986.32662,77.7,76.6,76.3,76.6,77.5
ARM,9725.752833,8406.14491,7719.635764,7458.574208,7506.369123,39711.31545,31957.34789,27076.22501,24076.5394,22361.2272,308.3,280.2,250.7,222.8,197.9,40476.62706,32840.13703,28097.11145,25260.04188,23736.53574,316.2,290.7,264.0,238.7,216.2
AUS,-275533.4708,-99740.14333,-36492.38871,-13500.7317,-5051.976058,-2785099.705,-1007662.804,-368509.4682,-136287.7435,-50991.52958,-910.8,-910.3,-909.8,-909.5,-909.3,-2788062.909,-1008748.433,-368911.1334,-136437.8376,-51048.17713,-911.9,-911.4,-910.9,-910.6,-910.5
AUT,62326.32345,24243.27476,9597.286958,3861.297343,1576.484845,-90844.20473,-26027.28276,-7019.881545,-1669.590839,-276.2755505,-245.8,-207.4,-173.1,-143.2,-117.5,-90844.20473,-26027.28276,-7019.881545,-1669.590839,-276.2755505,-245.8,-207.4,-173.1,-143.2,-117.5
AZE,53768.79061,38117.11701,27952.0928,21354.21407,17097.11294,187911.7193,146439.4999,118120.9917,98695.59147,85369.7996,249.5,284.2,322.6,362.2,399.3,189174.6149,147849.4458,119697.0662,100459.5194,87346.33588,251.8,287.9,328.2,370.4,410.9
BDI,1125183.875,3134037.343,10465880.89,40786865.66,177343479.2,1185821.364,3219754.175,10522117.75,40471020.94,175040058.6,5.4,2.7,0.5,-0.8,-1.3,1323294.632,3664006.987,12173179.84,47318216.44,205740669.8,17.6,16.9,16.3,16.0,16.0
