GCAMRegion,Country,Country Code,MitigationCost_Efficiency2030 (2022millionUS$),MitigationCost_Efficiency2050 (2022millionUS$),MitigationCost_Efficiency2100 (2022millionUS$),MitigationCost_Equity2030 (2022millionUS$),MitigationCost_Equity2050 (2022millionUS$),MitigationCost_Equity2100 (2022millionUS$),GDP2030 (2022millionUS$),GDP2050 (2022millionUS$),GDP2100 (2022millionUS$),deaths_REF2020,deaths_REF2030,deaths_REF2050,deaths_REF2100,deaths_Efficiency2030,deaths_Efficiency2050,deaths_Efficiency2100,deaths_Equity2030,deaths_Equity2050,deaths_Equity2100,deaths_upper_REF2020,deaths_upper_REF2030,deaths_upper_REF2050,deaths_upper_REF2100,deaths_upper_Efficiency2030,deaths_upper_Efficiency2050,deaths_upper_Efficiency2100,deaths_upper_Equity2030,deaths_upper_Equity2050,deaths_upper_Equity2100,deaths_lower_REF2020,deaths_lower_REF2030,deaths_lower_REF2050,deaths_lower_REF2100,deaths_lower_Efficiency2030,deaths_lower_Efficiency2050,deaths_lower_Efficiency2100,deaths_lower_Equity2030,deaths_lower_Equity2050,deaths_lower_Equity2100,Pop2020(million),Pop2030(million),Pop2050(million),Pop2100(million),Country Income Classification,Country Income Classification.2
Africa_Eastern,Burundi,BDI,8,186,3881,0,0,1281,6047,18839,167514,3911,8444,23618,14746,7640,15248,7752,7749,16717,8030,5109,10931,30174,19313,9903,19545,10260,10043,21427,10627,2586,5673,16227,9488,5149,10625,5056,5220,11611,5232,10.892053801763863,13.085823707944787,16.810184008020926,18.91791286100982,Low,Low
Africa_Eastern,Comoros,COM,3,69,1444,0,0,477,2250,7011,62341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9010720530055757,1.0483259538842196,1.2868763263195317,1.4124133281564752,Lower_Middle,Middle
Africa_Eastern,Djibouti,DJI,8,205,4271,0,0,1410,6655,20733,184351,223,284,363,178,267,316,149,274,322,150,287,361,464,238,339,404,200,348,411,200,153,202,255,114,190,224,96,195,228,96,1.0446004478125805,1.1817452064353917,1.3778034193060331,1.3949705211690198,Lower_Middle,Middle
Africa_Eastern,Ethiopia,ETH,285,7090,147631,1,12,48734,230012,716608,6371981,15129,22400,33846,21122,20926,27819,15018,21293,29155,15563,19862,29027,43724,28253,27108,35907,20072,27586,37639,20802,10123,15413,23476,13668,14432,19401,9800,14677,20308,10147,103.02141057538952,123.97137834947178,158.82881589733006,191.00647736151748,Low,Low
Africa_Eastern,Kenya,KEN,254,6309,131356,1,11,43362,204657,637612,5669558,1691,2553,4639,2832,1955,1589,500,2188,2579,686,2234,3367,6097,3898,2573,2075,684,2883,3376,938,1138,1722,3142,1726,1327,1098,315,1481,1771,431,50.65755137148987,60.59331379053682,78.05562234008323,95.54058128579948,Lower_Middle,Middle
Africa_Eastern,Madagascar,MDG,34,854,17788,0,1,5872,27715,86346,767774,623,1852,8761,69156,924,0,0,1199,1210,0,827,2450,11550,93363,1220,0,0,1584,1587,0,420,1249,5932,44542,627,0,0,812,832,0,26.86854626041524,33.269899375118875,45.11148176009386,59.053891009054794,Low,Low
Africa_Eastern,Mauritius,MUS,29,722,15028,0,1,4961,23414,72947,648637,13,86,201,78,0,0,0,35,0,0,17,111,261,105,0,0,0,45,0,0,10,61,139,52,0,0,0,25,0,0,1.3665424828965722,1.4260490062378446,1.46938955223966,1.302340650163186,Upper_Middle,Middle
Africa_Eastern,Rwanda,RWA,30,743,15479,0,1,5110,24117,75138,668113,3508,4364,6555,4011,4057,4912,2554,4103,5320,2694,4647,5749,8604,5353,5370,6537,3489,5427,7057,3672,2116,2684,4093,2393,2490,3057,1507,2518,3311,1590,13.749409162464467,16.826639383713957,22.95334724954101,30.88425177236819,Low,Low
Africa_Eastern,Somalia,SOM,23,582,12112,0,1,3998,18871,58793,522780,2397,4219,6587,1851,4026,5916,1636,4112,6062,1648,3112,5414,8414,2422,5164,7553,2140,5277,7740,2156,1650,2969,4676,1256,2838,4213,1114,2897,4314,1122,11.234552046434155,13.184417992566926,16.162462682953073,19.228836637055355,Low,Low
Africa_Eastern,Sudan,SDN,116,2884,60060,1,5,19826,93575,291534,2592286,34000,44509,65476,31742,43484,62123,29375,43840,62563,29423,41837,54639,81025,41104,53397,76926,38093,53828,77465,38155,25147,33127,48015,21279,32382,45612,19719,32641,45928,19751,54.18525382124855,64.51155106987719,81.62512733357714,91.59299107794035,Low,Low
